date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,795.0,26442.0,242.0,13369.0,40848.0,12921.0,3117.0,7284.0,17526.0,40848.0
2015-03-01,802.0,30934.0,269.0,13948.0,45952.0,15303.0,2700.0,6943.0,21006.0,45952.0
2016-03-01,805.0,41875.0,84.0,8888.0,51651.0,15107.0,2560.0,11748.0,22237.0,51651.0
2017-03-01,1215.0,45198.0,46.0,9440.0,55898.0,15893.0,3730.0,17581.0,18694.0,55898.0
2018-03-01,1220.0,51290.0,36.0,11695.0,64241.0,16524.0,5508.0,22053.0,20156.0,64241.0
2019-03-01,1226.0,57915.0,13.0,12585.0,71739.0,19374.0,4136.0,25043.0,23185.0,71739.0
2020-03-01,1229.0,64044.0,277.0,11760.0,77311.0,21713.0,3256.0,28663.0,23678.0,77311.0
2021-03-01,1231.0,59116.0,271.0,13143.0,73761.0,23298.0,4011.0,24871.0,21580.0,73761.0
2022-03-01,1232.0,61223.0,249.0,14491.0,77196.0,24232.0,3226.0,24841.0,24898.0,77196.0
2023-03-01,1243.0,67912.0,306.0,16370.0,85831.0,25851.0,3003.0,29415.0,27561.0,85831.0
2024-03-01,1248.0,73259.0,303.0,16944.0,91754.0,27820.0,2861.0,31114.0,29959.0,91754.0
2025-03-01,1251.0,68779.0,285.0,17688.0,88003.0,21955.0,1091.0,34720.0,30237.0,88003.0
2025-09-01,1253.0,69819.0,363.0,19368.0,90803.0,22400.0,1305.0,32548.0,34550.0,90803.0
