date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,385.0,18699.0,56930.0,29007.0,17176.0,122197.0,1264.0,0.0,38791.0,82142.0,122197.0
2015-03-01,386.0,21770.0,72843.0,31415.0,22049.0,148464.0,1385.0,0.0,45589.0,101490.0,148464.0
2016-03-01,917.0,32447.0,135949.0,43730.0,27761.0,240804.0,1761.0,0.0,70274.0,168769.0,240804.0
2017-03-01,920.0,37572.0,155540.0,49690.0,32465.0,276188.0,1759.0,0.0,68462.0,205967.0,276188.0
2018-03-01,953.0,49535.0,191236.0,58604.0,37392.0,337720.0,2543.0,0.0,90977.0,244201.0,337720.0
2019-03-01,954.0,56827.0,224824.0,66939.0,45626.0,395171.0,2697.0,0.0,103487.0,288987.0,395171.0
2020-03-01,957.0,65680.0,260400.0,66077.0,50059.0,443173.0,2675.0,0.0,111197.0,329301.0,443173.0
2021-03-01,991.0,83348.0,278871.0,48239.0,67405.0,478854.0,2554.0,0.0,156946.0,319355.0,478854.0
2022-03-01,992.0,95673.0,310087.0,55660.0,84086.0,546498.0,2723.0,0.0,164529.0,379245.0,546498.0
2023-03-01,993.0,110821.0,361273.0,57534.0,89809.0,620430.0,3075.0,0.0,195338.0,422017.0,620430.0
2024-03-01,994.0,128978.0,445269.0,75106.0,117321.0,767667.0,3510.0,0.0,246446.0,517711.0,767667.0
2025-03-01,994.0,156495.0,494707.0,97622.0,129955.0,879774.0,3759.0,0.0,284255.0,591761.0,879774.0
2025-09-01,994.0,166941.0,524500.0,82700.0,137817.0,912952.0,2838.0,0.0,284843.0,625271.0,912952.0
