date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,295.0,23012.0,35167.0,29415.0,87889.0,18381.0,2191.0,8082.0,59234.0,87889.0
2015-03-01,296.0,25561.0,37911.0,30608.0,94376.0,19047.0,3032.0,10027.0,62270.0,94376.0
2016-03-01,270.0,26222.0,41553.0,31806.0,99852.0,20585.0,2371.0,11603.0,65293.0,99852.0
2017-03-01,311.0,29467.0,48762.0,35296.0,113835.0,20989.0,4279.0,14662.0,73905.0,113835.0
2018-03-01,543.0,36232.0,55898.0,43696.0,136369.0,26182.0,4269.0,16018.0,89900.0,136369.0
2019-03-01,544.0,39439.0,70848.0,51057.0,161889.0,28983.0,4760.0,18268.0,109878.0,161889.0
2020-03-01,554.0,39415.0,82092.0,43655.0,165716.0,29689.0,6856.0,19210.0,109960.0,165716.0
2021-03-01,555.0,41027.0,80625.0,42762.0,164968.0,21380.0,7873.0,28778.0,106938.0,164968.0
2022-03-01,556.0,46567.0,77605.0,47661.0,172388.0,26018.0,6703.0,30060.0,109607.0,172388.0
2023-03-01,557.0,55809.0,92247.0,55670.0,204283.0,27140.0,3969.0,35272.0,137902.0,204283.0
2024-03-01,557.0,65633.0,108647.0,59884.0,234722.0,28129.0,8039.0,35208.0,163345.0,234722.0
2025-03-01,558.0,76481.0,129025.0,69950.0,276013.0,34636.0,8298.0,41309.0,191771.0,276013.0
2025-09-01,558.0,82286.0,126709.0,83376.0,292930.0,41872.0,2570.0,36327.0,212160.0,292930.0
