date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,971.0,39561.0,81629.0,49443.0,171604.0,74907.0,26822.0,5093.0,64781.0,171604.0
2015-03-01,971.0,30378.0,80701.0,47059.0,159109.0,68100.0,28678.0,3455.0,58876.0,159109.0
2016-03-01,970.0,42762.0,81987.0,51165.0,176884.0,72200.0,35996.0,10714.0,57974.0,176884.0
2017-03-01,970.0,36849.0,83014.0,51614.0,172447.0,92007.0,15784.0,12457.0,52200.0,172447.0
2018-03-01,1145.0,59726.0,92147.0,55704.0,208722.0,96105.0,16614.0,17899.0,78103.0,208722.0
2019-03-01,1145.0,67780.0,100816.0,63032.0,232773.0,124442.0,18641.0,5738.0,83952.0,232773.0
2020-03-01,1145.0,72431.0,116328.0,59245.0,249149.0,134551.0,19497.0,6285.0,88816.0,249149.0
2021-03-01,1198.0,73041.0,88501.0,81169.0,243909.0,135775.0,19007.0,10682.0,78445.0,243909.0
2022-03-01,1221.0,113222.0,75561.0,92417.0,282422.0,133288.0,22046.0,13140.0,113948.0,282422.0
2023-03-01,1221.0,101861.0,84893.0,97421.0,285396.0,146621.0,31213.0,8410.0,99151.0,285396.0
2024-03-01,1247.0,90788.0,87082.0,90195.0,269312.0,148814.0,34356.0,6258.0,79885.0,269312.0
2025-03-01,1247.0,89922.0,94801.0,89488.0,275459.0,150914.0,41622.0,6194.0,76728.0,275459.0
2025-09-01,1247.0,93700.0,95643.0,94975.0,285565.0,166095.0,33152.0,6903.0,79415.0,285565.0
