date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,373.0,-356.0,-63.0,-46.0
2015-03-01,470.0,-759.0,392.0,103.0
2016-03-01,597.0,-888.0,330.0,39.0
2017-03-01,623.0,-1152.0,477.0,-52.0
2018-03-01,537.0,-405.0,-108.0,24.0
2019-03-01,905.0,-711.0,-215.0,-20.0
2020-03-01,1293.0,-289.0,-910.0,94.0
2021-03-01,1265.0,-880.0,-340.0,44.0
2022-03-01,1696.0,-747.0,-792.0,158.0
2023-03-01,1377.0,-857.0,-633.0,-113.0
2024-03-01,1920.0,-1537.0,-311.0,72.0
2025-03-01,2136.0,-3381.0,1317.0,73.0
