date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2015-03-01,-7064.0,-360.0,6867.0,-557.0
2016-03-01,-9870.0,-687.0,11656.0,1100.0
2017-03-01,-10439.0,-3047.0,12513.0,-972.0
2018-03-01,-20566.0,1075.0,19503.0,13.0
2019-03-01,-29062.0,-5379.0,34449.0,9.0
2020-03-01,-24412.0,-8758.0,34167.0,998.0
2021-03-01,-807.0,-429.0,1741.0,505.0
2022-03-01,-37090.0,6347.0,32275.0,1532.0
2023-03-01,-42112.0,-10394.0,50675.0,-1831.0
2024-03-01,-69843.0,-10088.0,82415.0,2484.0
2025-03-01,-68154.0,-2765.0,70527.0,-392.0
