date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,3549.0,-2336.0,-1046.0,168.0
2015-03-01,4594.0,-2359.0,-2278.0,-42.0
2016-03-01,5868.0,-4515.0,-1365.0,-11.0
2017-03-01,7288.0,-3509.0,-3799.0,-20.0
2018-03-01,-4140.0,1546.0,3449.0,856.0
2019-03-01,-1659.0,-2212.0,4158.0,287.0
2020-03-01,16620.0,-11364.0,-3418.0,1838.0
2021-03-01,15075.0,-7146.0,-8003.0,-75.0
2022-03-01,7038.0,-1053.0,-6733.0,-748.0
2023-03-01,-12685.0,-13712.0,26469.0,72.0
2024-03-01,-10719.0,-23114.0,33908.0,75.0
2025-03-01,-17170.0,-23313.0,42978.0,2495.0
