date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,9825.0,-2563.0,-3144.0,4118.0
2015-03-01,8353.0,999.0,-4935.0,4417.0
2016-03-01,10028.0,-885.0,-6813.0,2330.0
2017-03-01,11531.0,-14664.0,-6939.0,-10072.0
2018-03-01,13218.0,4533.0,-20505.0,-2754.0
2019-03-01,14841.0,-632.0,-14512.0,-303.0
2020-03-01,17003.0,-331.0,-17591.0,-919.0
2021-03-01,23224.0,-7373.0,-9786.0,6065.0
2022-03-01,23885.0,-6485.0,-24642.0,-7242.0
2023-03-01,22467.0,-1071.0,-26695.0,-5299.0
2024-03-01,25210.0,-5093.0,-17504.0,2613.0
2025-03-01,35694.0,-1864.0,-24161.0,9669.0
