date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-244.0,-4524.0,5577.0,810.0
2015-03-01,1055.0,-4357.0,1669.0,-1633.0
2016-03-01,2385.0,-5506.0,2967.0,-154.0
2017-03-01,183.0,-5875.0,6108.0,416.0
2018-03-01,682.0,-5467.0,6314.0,1529.0
2019-03-01,-4347.0,-7174.0,13194.0,1672.0
2020-03-01,-1457.0,-6870.0,6933.0,-1394.0
2021-03-01,17909.0,-19686.0,406.0,-1370.0
2022-03-01,9248.0,-3252.0,-5883.0,113.0
2023-03-01,-7074.0,-8866.0,15946.0,6.0
2024-03-01,-5630.0,-5615.0,12281.0,1037.0
2025-03-01,3176.0,-18616.0,15834.0,394.0
