date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,4995.0,-4997.0,-74.0,-76.0
2015-03-01,6449.0,-4491.0,-2004.0,-45.0
2016-03-01,8482.0,-7230.0,-1237.0,16.0
2017-03-01,10282.0,-9173.0,-1129.0,-20.0
2018-03-01,11788.0,-8302.0,-3436.0,50.0
2019-03-01,6601.0,-3540.0,-2948.0,113.0
2020-03-01,3496.0,-557.0,-3104.0,-165.0
2021-03-01,8856.0,-7291.0,-1545.0,20.0
2022-03-01,1840.0,-239.0,-1607.0,-6.0
2023-03-01,9251.0,-8036.0,-1213.0,2.0
2024-03-01,16801.0,-11865.0,-4062.0,874.0
2025-03-01,16136.0,-14456.0,-4155.0,-2475.0
