date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,3959.0,-2176.0,507.0,2290.0
2015-03-01,5616.0,-1502.0,-1187.0,2927.0
2016-03-01,6686.0,-3949.0,-1889.0,848.0
2017-03-01,7082.0,-4186.0,-2285.0,611.0
2018-03-01,3907.0,-3104.0,-1539.0,-736.0
2019-03-01,2196.0,-310.0,-2731.0,-844.0
2020-03-01,6555.0,-2225.0,-5715.0,-1386.0
2021-03-01,6170.0,407.0,-5980.0,596.0
2022-03-01,8985.0,-5556.0,-5193.0,-1765.0
2023-03-01,4959.0,-7220.0,2376.0,115.0
2024-03-01,12135.0,-763.0,-6710.0,4662.0
2025-03-01,14072.0,-5183.0,-7906.0,983.0
