date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,2532.0,1514.0,1018.0,0.4,68.0,3.0,92.0,991.0,0.22,773.0,29.13,0.34
2015-03-01,3115.0,1942.0,1173.0,0.38,38.0,3.0,136.0,1072.0,0.21,852.0,32.07,0.31
2016-03-01,3776.0,2354.0,1423.0,0.38,93.0,5.0,118.0,1393.0,0.19,1126.0,42.41,0.24
2017-03-01,4064.0,2615.0,1450.0,0.36,72.0,3.0,123.0,1395.0,0.24,1060.0,39.95,0.25
2018-03-01,3891.0,2622.0,1269.0,0.33,107.0,2.0,142.0,1231.0,0.29,877.0,33.04,0.3
2019-03-01,4946.0,3072.0,1874.0,0.38,154.0,5.0,169.0,1855.0,0.27,1353.0,50.96,0.31
2020-03-01,5394.0,3568.0,1826.0,0.34,186.0,7.0,186.0,1819.0,0.24,1377.0,51.85,0.31
2021-03-01,6969.0,4102.0,2867.0,0.41,57.0,2.0,256.0,2666.0,0.26,1984.0,74.75,0.27
2022-03-01,8960.0,5075.0,3885.0,0.43,112.0,2.0,312.0,3684.0,0.2,2960.0,111.52,0.27
2023-03-01,7768.0,5397.0,2370.0,0.31,344.0,2.0,343.0,2369.0,0.23,1823.0,68.69,0.44
2024-03-01,7845.0,5635.0,2210.0,0.28,335.0,4.0,378.0,2163.0,0.26,1600.0,60.27,0.5
2025-03-01,9360.0,6387.0,2973.0,0.32,348.0,3.0,402.0,2916.0,0.25,2191.0,82.53,0.36
TTM,10029.0,6783.0,3246.0,0.32,432.0,12.0,431.0,3235.0,0.0,2485.0,93.61,0.0
