date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,13415.0,10164.0,3251.0,0.24,170.0,127.0,648.0,2646.0,0.26,1963.0,23.08,0.16
2015-03-01,15023.0,11515.0,3508.0,0.23,260.0,108.0,760.0,2900.0,0.19,2336.0,27.43,0.15
2016-03-01,15568.0,11983.0,3585.0,0.23,295.0,83.0,939.0,2859.0,0.26,2131.0,24.98,0.16
2017-03-01,14196.0,11724.0,2472.0,0.17,172.0,63.0,1027.0,1554.0,0.19,1292.0,15.59,0.26
2018-03-01,14281.0,11930.0,2351.0,0.16,155.0,79.0,1077.0,1350.0,0.32,947.0,11.41,0.35
2019-03-01,15448.0,12270.0,3178.0,0.21,381.0,89.0,1135.0,2336.0,0.17,1950.0,23.49,0.17
2020-03-01,17517.0,15040.0,2477.0,0.14,670.0,98.0,1163.0,1886.0,-0.07,2026.0,24.38,0.21
2021-03-01,19048.0,15173.0,3874.0,0.2,335.0,97.0,1229.0,2884.0,0.32,1952.0,23.47,0.21
2022-03-01,21545.0,17778.0,3768.0,0.17,555.0,96.0,1165.0,3061.0,0.29,2182.0,26.23,0.23
2023-03-01,24670.0,18200.0,6470.0,0.26,971.0,143.0,1250.0,6048.0,0.25,4507.0,54.14,0.15
2024-03-01,28011.0,20078.0,7933.0,0.28,909.0,171.0,1470.0,7201.0,0.23,5578.0,66.87,0.12
2025-03-01,32644.0,24097.0,8547.0,0.26,1119.0,283.0,1704.0,7680.0,0.25,5725.0,67.77,0.12
TTM,34682.0,26613.0,8069.0,0.23,1419.0,334.0,1956.0,7198.0,0.0,5523.0,66.72,0.0
