date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,42555.0,23445.0,13508.0,5602.0,0.13,8298.0,689.0,13211.0,0.34,8768.0,9.11,0.19
2015-03-01,50666.0,27288.0,16164.0,7214.0,0.14,9546.0,680.0,16079.0,0.33,10703.0,10.66,0.19
2016-03-01,63162.0,34070.0,20055.0,9037.0,0.14,11212.0,738.0,19511.0,0.34,12821.0,12.66,0.19
2017-03-01,73271.0,38042.0,23856.0,11374.0,0.16,12905.0,886.0,23393.0,0.35,15317.0,14.91,0.18
2018-03-01,85288.0,42381.0,29532.0,13374.0,0.16,16057.0,967.0,28464.0,0.35,18561.0,17.83,0.18
2019-03-01,105161.0,53713.0,34856.0,16592.0,0.16,18947.0,1221.0,34318.0,0.35,22446.0,20.5,0.18
2020-03-01,122189.0,62137.0,45459.0,14593.0,0.12,24879.0,1277.0,38195.0,0.29,27296.0,24.85,0.05
2021-03-01,128552.0,59248.0,52457.0,16848.0,0.13,27333.0,1385.0,42796.0,0.26,31857.0,28.87,0.11
2022-03-01,135936.0,58584.0,56557.0,20795.0,0.15,31759.0,1681.0,50873.0,0.25,38151.0,34.31,0.23
2023-03-01,170754.0,77780.0,63042.0,29932.0,0.18,33912.0,2345.0,61498.0,0.25,46149.0,41.22,0.23
2024-03-01,283649.0,154139.0,174196.0,-44685.0,-0.16,124346.0,3092.0,76569.0,0.15,65446.0,42.16,0.23
2025-03-01,336367.0,183894.0,186974.0,-34501.0,-0.1,134548.0,3805.0,96242.0,0.24,73440.0,46.26,0.24
TTM,348212.0,187257.0,211511.0,-50556.0,-0.15,150600.0,0.0,100043.0,0.0,77430.0,48.54,0.0
