date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2014-03-01,78330.0,58603.0,19727.0,0.25,2792.0,3263.0,4770.0,14486.0,0.21,11403.0,11.53,0.42
2015-03-01,79957.0,62605.0,17352.0,0.22,2338.0,3669.0,5565.0,10456.0,0.04,9992.0,10.09,0.21
2016-03-01,73396.0,54829.0,18568.0,0.25,1188.0,3366.0,5771.0,10618.0,-0.02,10781.0,10.92,0.26
2017-03-01,82042.0,60445.0,21598.0,0.26,1592.0,3753.0,6010.0,13426.0,0.2,10714.0,10.83,0.37
2018-03-01,88083.0,65598.0,22485.0,0.26,5576.0,4447.0,7460.0,16154.0,0.35,10502.0,10.66,0.4
2019-03-01,100287.0,77576.0,22710.0,0.23,2818.0,5605.0,8669.0,11255.0,-0.25,14034.0,13.88,0.44
2020-03-01,109464.0,77878.0,31586.0,0.29,8209.0,8189.0,10356.0,21250.0,0.44,11902.0,11.72,0.27
2021-03-01,111531.0,77487.0,34044.0,0.31,5021.0,9224.0,12450.0,17390.0,0.14,14969.0,15.09,0.41
2022-03-01,132669.0,92307.0,40362.0,0.3,4809.0,9376.0,13788.0,22007.0,0.23,16960.0,17.2,0.41
2023-03-01,176207.0,128611.0,47596.0,0.27,2561.0,11447.0,14792.0,23917.0,0.28,17121.0,17.44,0.42
2024-03-01,178525.0,127025.0,51499.0,0.29,5146.0,12301.0,16204.0,28142.0,0.24,21332.0,21.46,0.36
2025-03-01,188138.0,133746.0,54392.0,0.29,8490.0,13282.0,17401.0,32198.0,0.26,23953.0,24.16,0.35
TTM,187531.0,132811.0,54719.0,0.29,11891.0,13712.0,19159.0,33739.0,0.0,24828.0,24.94,0.0
