date,metric,label,value,delivery
2005-04-01,Price,Price on BSE,6.27,
2005-04-08,Price,Price on BSE,6.80,
2005-04-15,Price,Price on BSE,6.78,
2005-04-22,Price,Price on BSE,6.97,
2005-04-29,Price,Price on BSE,7.13,
2005-05-06,Price,Price on BSE,7.44,
2005-05-13,Price,Price on BSE,8.24,
2005-05-20,Price,Price on BSE,7.93,
2005-05-27,Price,Price on BSE,7.71,
2005-06-04,Price,Price on BSE,7.81,
2005-06-10,Price,Price on BSE,8.49,
2005-06-17,Price,Price on BSE,8.46,
2005-06-24,Price,Price on BSE,10.89,
2005-07-01,Price,Price on BSE,9.23,
2005-07-08,Price,Price on BSE,8.82,
2005-07-15,Price,Price on BSE,9.10,
2005-07-22,Price,Price on BSE,9.07,
2005-07-29,Price,Price on BSE,9.67,
2005-08-05,Price,Price on BSE,9.80,
2005-08-12,Price,Price on BSE,10.59,
2005-08-19,Price,Price on BSE,10.48,
2005-08-26,Price,Price on BSE,10.39,
2005-09-02,Price,Price on BSE,10.78,
2005-09-09,Price,Price on BSE,10.67,
2005-09-16,Price,Price on BSE,10.99,
2005-09-23,Price,Price on BSE,9.85,
2005-09-30,Price,Price on BSE,10.33,
2005-10-07,Price,Price on BSE,10.20,
2005-10-14,Price,Price on BSE,9.40,
2005-10-21,Price,Price on BSE,8.79,
2005-10-28,Price,Price on BSE,9.34,
2005-11-02,Price,Price on BSE,9.73,
2005-11-11,Price,Price on BSE,10.00,
2005-11-18,Price,Price on BSE,10.13,
2005-11-26,Price,Price on BSE,10.74,
2005-12-02,Price,Price on BSE,10.45,
2005-12-09,Price,Price on BSE,10.75,
2005-12-16,Price,Price on BSE,10.54,
2005-12-23,Price,Price on BSE,12.74,
2005-12-30,Price,Price on BSE,12.87,
2006-01-06,Price,Price on BSE,12.62,
2006-01-13,Price,Price on BSE,13.19,
2006-01-20,Price,Price on BSE,13.01,
2006-01-27,Price,Price on BSE,15.92,
2006-02-03,Price,Price on BSE,14.73,
2006-02-10,Price,Price on BSE,15.39,
2006-02-17,Price,Price on BSE,16.55,
2006-02-24,Price,Price on BSE,16.55,
2006-03-03,Price,Price on BSE,15.69,
2006-03-10,Price,Price on BSE,15.83,
2006-03-17,Price,Price on BSE,15.94,
2006-03-24,Price,Price on BSE,15.32,
2006-03-31,Price,Price on BSE,15.62,
2006-04-07,Price,Price on BSE,17.71,
2006-04-13,Price,Price on BSE,18.83,
2006-04-21,Price,Price on BSE,18.62,
2006-04-29,Price,Price on BSE,18.52,
2006-05-05,Price,Price on BSE,17.98,
2006-05-12,Price,Price on BSE,17.73,
2006-05-19,Price,Price on BSE,14.78,
2006-05-26,Price,Price on BSE,15.14,
2006-06-02,Price,Price on BSE,13.20,
2006-06-09,Price,Price on BSE,10.57,
2006-06-16,Price,Price on BSE,12.23,
2006-06-25,Price,Price on BSE,18.14,
2006-06-30,Price,Price on BSE,17.39,
2006-07-07,Price,Price on BSE,17.10,
2006-07-14,Price,Price on BSE,16.33,
2006-07-21,Price,Price on BSE,16.24,
2006-07-28,Price,Price on BSE,19.15,
2006-08-04,Price,Price on BSE,22.76,
2006-08-11,Price,Price on BSE,22.24,
2006-08-18,Price,Price on BSE,25.02,
2006-08-25,Price,Price on BSE,24.06,
2006-09-01,Price,Price on BSE,23.77,
2006-09-08,Price,Price on BSE,23.51,
2006-09-15,Price,Price on BSE,22.61,
2006-09-22,Price,Price on BSE,22.74,
2006-09-29,Price,Price on BSE,24.00,
2006-10-06,Price,Price on BSE,26.03,
2006-10-13,Price,Price on BSE,26.07,
2006-10-21,Price,Price on BSE,27.79,
2006-10-27,Price,Price on BSE,28.37,
2006-11-03,Price,Price on BSE,28.25,
2006-11-10,Price,Price on BSE,27.51,
2006-11-17,Price,Price on BSE,26.78,
2006-11-24,Price,Price on BSE,27.61,
2006-12-01,Price,Price on BSE,27.27,
2006-12-08,Price,Price on BSE,26.26,
2006-12-15,Price,Price on BSE,25.09,
2006-12-22,Price,Price on BSE,25.00,
2006-12-29,Price,Price on BSE,25.98,
2007-01-05,Price,Price on BSE,27.44,
2007-01-12,Price,Price on BSE,27.87,
2007-01-19,Price,Price on BSE,32.08,
2007-01-25,Price,Price on BSE,31.61,
2007-02-02,Price,Price on BSE,28.66,
2007-02-09,Price,Price on BSE,27.67,
2007-02-15,Price,Price on BSE,25.76,
2007-02-23,Price,Price on BSE,24.83,
2007-03-02,Price,Price on BSE,24.27,
2007-03-09,Price,Price on BSE,22.08,
2007-03-16,Price,Price on BSE,22.04,
2007-03-23,Price,Price on BSE,21.47,
2007-03-30,Price,Price on BSE,22.66,
2007-04-05,Price,Price on BSE,21.70,
2007-04-13,Price,Price on BSE,25.08,
2007-04-20,Price,Price on BSE,25.08,
2007-04-27,Price,Price on BSE,25.36,
2007-05-04,Price,Price on BSE,26.01,
2007-05-11,Price,Price on BSE,26.52,
2007-05-18,Price,Price on BSE,26.34,
2007-05-25,Price,Price on BSE,26.80,
2007-06-01,Price,Price on BSE,26.37,
2007-06-08,Price,Price on BSE,27.40,
2007-06-15,Price,Price on BSE,27.43,
2007-06-22,Price,Price on BSE,28.88,
2007-06-29,Price,Price on BSE,35.16,
2007-07-06,Price,Price on BSE,34.95,
2007-07-13,Price,Price on BSE,37.86,
2007-07-20,Price,Price on BSE,37.37,
2007-07-27,Price,Price on BSE,39.94,
2007-08-03,Price,Price on BSE,38.92,
2007-08-10,Price,Price on BSE,38.60,
2007-08-17,Price,Price on BSE,39.27,
2007-08-24,Price,Price on BSE,37.05,
2007-08-31,Price,Price on BSE,39.65,
2007-09-07,Price,Price on BSE,43.93,
2007-09-14,Price,Price on BSE,45.85,
2007-09-21,Price,Price on BSE,47.92,
2007-09-28,Price,Price on BSE,45.12,
2007-10-05,Price,Price on BSE,45.03,
2007-10-12,Price,Price on BSE,53.12,
2007-10-19,Price,Price on BSE,51.37,
2007-10-26,Price,Price on BSE,53.20,
2007-11-02,Price,Price on BSE,51.82,
2007-11-09,Price,Price on BSE,52.63,
2007-11-16,Price,Price on BSE,57.50,
2007-11-23,Price,Price on BSE,59.62,
2007-11-30,Price,Price on BSE,57.45,
2007-12-07,Price,Price on BSE,65.79,
2007-12-14,Price,Price on BSE,67.25,
2007-12-20,Price,Price on BSE,66.80,
2007-12-28,Price,Price on BSE,67.80,
2008-01-04,Price,Price on BSE,72.07,
2008-01-11,Price,Price on BSE,65.39,
2008-01-18,Price,Price on BSE,72.72,
2008-01-25,Price,Price on BSE,77.75,
2008-02-01,Price,Price on BSE,75.37,
2008-02-08,Price,Price on BSE,72.20,
2008-02-15,Price,Price on BSE,70.22,
2008-02-22,Price,Price on BSE,68.77,
2008-02-29,Price,Price on BSE,72.10,
2008-03-07,Price,Price on BSE,64.65,
2008-03-14,Price,Price on BSE,62.25,
2008-03-19,Price,Price on BSE,60.70,
2008-03-28,Price,Price on BSE,63.97,
2008-04-04,Price,Price on BSE,60.29,
2008-04-11,Price,Price on BSE,62.13,
2008-04-17,Price,Price on BSE,64.13,
2008-04-25,Price,Price on BSE,64.17,
2008-05-02,Price,Price on BSE,68.47,
2008-05-09,Price,Price on BSE,64.59,
2008-05-16,Price,Price on BSE,64.99,
2008-05-23,Price,Price on BSE,65.07,
2008-05-30,Price,Price on BSE,61.75,
2008-06-06,Price,Price on BSE,57.40,
2008-06-13,Price,Price on BSE,57.89,
2008-06-20,Price,Price on BSE,55.99,
2008-06-27,Price,Price on BSE,50.22,
2008-07-04,Price,Price on BSE,44.15,
2008-07-11,Price,Price on BSE,41.69,
2008-07-18,Price,Price on BSE,40.62,
2008-07-25,Price,Price on BSE,43.42,
2008-08-01,Price,Price on BSE,42.29,
2008-08-08,Price,Price on BSE,42.73,
2008-08-14,Price,Price on BSE,42.22,
2008-08-22,Price,Price on BSE,42.75,
2008-08-29,Price,Price on BSE,41.83,
2008-09-05,Price,Price on BSE,42.62,
2008-09-12,Price,Price on BSE,41.89,
2008-09-19,Price,Price on BSE,37.85,
2008-09-26,Price,Price on BSE,35.79,
2008-10-03,Price,Price on BSE,33.15,
2008-10-10,Price,Price on BSE,27.32,
2008-10-17,Price,Price on BSE,25.83,
2008-10-24,Price,Price on BSE,23.25,
2008-10-31,Price,Price on BSE,24.13,
2008-11-07,Price,Price on BSE,25.30,
2008-11-14,Price,Price on BSE,24.80,
2008-11-21,Price,Price on BSE,20.63,
2008-11-28,Price,Price on BSE,20.60,
2008-12-05,Price,Price on BSE,20.33,
2008-12-12,Price,Price on BSE,21.73,
2008-12-19,Price,Price on BSE,24.48,
2008-12-26,Price,Price on BSE,22.78,
2009-01-02,Price,Price on BSE,24.40,
2009-01-09,Price,Price on BSE,22.03,
2009-01-16,Price,Price on BSE,21.45,
2009-01-23,Price,Price on BSE,20.25,
2009-01-30,Price,Price on BSE,20.73,
2009-02-06,Price,Price on BSE,19.43,
2009-02-13,Price,Price on BSE,19.90,
2009-02-20,Price,Price on BSE,18.18,
2009-02-27,Price,Price on BSE,17.50,
2009-03-06,Price,Price on BSE,16.20,
2009-03-13,Price,Price on BSE,15.95,
2009-03-20,Price,Price on BSE,17.33,
2009-03-27,Price,Price on BSE,19.13,
2009-04-02,Price,Price on BSE,19.78,
2009-04-09,Price,Price on BSE,24.00,
2009-04-17,Price,Price on BSE,25.88,
2009-04-24,Price,Price on BSE,26.95,
2009-04-29,Price,Price on BSE,26.65,
2009-05-08,Price,Price on BSE,28.28,
2009-05-15,Price,Price on BSE,26.75,
2009-05-22,Price,Price on BSE,39.48,
2009-05-29,Price,Price on BSE,42.03,
2009-06-05,Price,Price on BSE,46.25,
2009-06-12,Price,Price on BSE,45.78,
2009-06-19,Price,Price on BSE,44.20,
2009-06-26,Price,Price on BSE,44.68,
2009-07-03,Price,Price on BSE,46.00,
2009-07-10,Price,Price on BSE,40.85,
2009-07-17,Price,Price on BSE,48.58,
2009-07-24,Price,Price on BSE,55.83,
2009-07-31,Price,Price on BSE,59.75,
2009-08-07,Price,Price on BSE,58.08,
2009-08-14,Price,Price on BSE,57.38,
2009-08-21,Price,Price on BSE,58.48,
2009-08-28,Price,Price on BSE,64.55,
2009-09-04,Price,Price on BSE,64.78,
2009-09-11,Price,Price on BSE,63.98,
2009-09-18,Price,Price on BSE,69.05,
2009-09-25,Price,Price on BSE,72.95,
2009-10-01,Price,Price on BSE,70.33,
2009-10-09,Price,Price on BSE,70.45,
2009-10-17,Price,Price on BSE,78.25,
2009-10-23,Price,Price on BSE,78.45,
2009-10-30,Price,Price on BSE,76.25,
2009-11-06,Price,Price on BSE,79.58,
2009-11-13,Price,Price on BSE,78.20,
2009-11-20,Price,Price on BSE,88.95,
2009-11-27,Price,Price on BSE,82.93,
2009-12-04,Price,Price on BSE,83.78,
2009-12-11,Price,Price on BSE,80.50,
2009-12-18,Price,Price on BSE,82.85,
2009-12-24,Price,Price on BSE,81.98,
2009-12-31,Price,Price on BSE,81.60,
2010-01-08,Price,Price on BSE,85.78,
2010-01-15,Price,Price on BSE,87.23,
2010-01-22,Price,Price on BSE,80.83,
2010-01-29,Price,Price on BSE,78.13,
2010-02-06,Price,Price on BSE,76.30,
2010-02-11,Price,Price on BSE,76.15,
2010-02-19,Price,Price on BSE,75.03,
2010-02-26,Price,Price on BSE,75.35,
2010-03-05,Price,Price on BSE,78.35,
2010-03-12,Price,Price on BSE,82.50,
2010-03-19,Price,Price on BSE,83.45,
2010-03-26,Price,Price on BSE,82.05,
2010-04-01,Price,Price on BSE,84.30,
2010-04-09,Price,Price on BSE,87.83,
2010-04-16,Price,Price on BSE,86.58,
2010-04-23,Price,Price on BSE,87.93,
2010-04-30,Price,Price on BSE,85.03,
2010-05-07,Price,Price on BSE,82.63,
2010-05-14,Price,Price on BSE,84.08,
2010-05-21,Price,Price on BSE,79.60,
2010-05-28,Price,Price on BSE,82.08,
2010-06-04,Price,Price on BSE,82.63,
2010-06-11,Price,Price on BSE,86.58,
2010-06-18,Price,Price on BSE,87.58,
2010-06-25,Price,Price on BSE,87.13,
2010-07-02,Price,Price on BSE,91.20,
2010-07-09,Price,Price on BSE,93.40,
2010-07-16,Price,Price on BSE,96.23,
