date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,31.81,
2005-04-08,Price,Price on NSE,31.47,
2005-04-15,Price,Price on NSE,30.75,
2005-04-22,Price,Price on NSE,31.53,
2005-04-29,Price,Price on NSE,31.52,
2005-05-06,Price,Price on NSE,32.72,
2005-05-13,Price,Price on NSE,33.21,
2005-05-20,Price,Price on NSE,32.73,
2005-05-27,Price,Price on NSE,33.72,
2005-06-04,Price,Price on NSE,32.56,
2005-06-10,Price,Price on NSE,32.12,
2005-06-17,Price,Price on NSE,31.51,
2005-06-24,Price,Price on NSE,30.68,
2005-07-01,Price,Price on NSE,30.21,
2005-07-08,Price,Price on NSE,30.04,
2005-07-15,Price,Price on NSE,29.96,
2005-07-22,Price,Price on NSE,30.43,
2005-07-29,Price,Price on NSE,30.35,
2005-08-05,Price,Price on NSE,30.25,
2005-08-12,Price,Price on NSE,30.70,
2005-08-19,Price,Price on NSE,30.21,
2005-08-26,Price,Price on NSE,28.95,
2005-09-02,Price,Price on NSE,30.17,
2005-09-09,Price,Price on NSE,30.12,
2005-09-16,Price,Price on NSE,30.01,
2005-09-23,Price,Price on NSE,27.93,
2005-09-30,Price,Price on NSE,28.24,
2005-10-07,Price,Price on NSE,28.51,
2005-10-14,Price,Price on NSE,26.59,
2005-10-21,Price,Price on NSE,25.39,
2005-10-28,Price,Price on NSE,25.20,
2005-11-02,Price,Price on NSE,25.17,
2005-11-11,Price,Price on NSE,25.00,
2005-11-18,Price,Price on NSE,25.04,
2005-11-26,Price,Price on NSE,26.82,
2005-12-02,Price,Price on NSE,24.96,
2005-12-09,Price,Price on NSE,25.84,
2005-12-16,Price,Price on NSE,24.92,
2005-12-23,Price,Price on NSE,23.17,
2005-12-30,Price,Price on NSE,22.95,
2006-01-06,Price,Price on NSE,22.42,
2006-01-13,Price,Price on NSE,22.39,
2006-01-20,Price,Price on NSE,21.93,
2006-01-27,Price,Price on NSE,23.72,
2006-02-03,Price,Price on NSE,21.15,
2006-02-10,Price,Price on NSE,21.15,
2006-02-17,Price,Price on NSE,21.15,
2006-02-24,Price,Price on NSE,23.07,
2006-03-03,Price,Price on NSE,24.98,
2006-03-10,Price,Price on NSE,26.57,
2006-03-17,Price,Price on NSE,26.43,
2006-03-24,Price,Price on NSE,26.39,
2006-03-31,Price,Price on NSE,30.24,
2006-04-07,Price,Price on NSE,29.86,
2006-04-13,Price,Price on NSE,28.03,
2006-04-21,Price,Price on NSE,31.01,
2006-04-29,Price,Price on NSE,31.19,
2006-05-05,Price,Price on NSE,31.90,
2006-05-12,Price,Price on NSE,33.86,
2006-05-19,Price,Price on NSE,29.50,
2006-05-26,Price,Price on NSE,29.67,
2006-06-02,Price,Price on NSE,28.38,
2006-06-09,Price,Price on NSE,24.19,
2006-06-16,Price,Price on NSE,22.90,
2006-06-25,Price,Price on NSE,22.99,
2006-06-30,Price,Price on NSE,23.85,
2006-07-07,Price,Price on NSE,23.72,
2006-07-14,Price,Price on NSE,26.12,
2006-07-21,Price,Price on NSE,21.47,
2006-07-28,Price,Price on NSE,22.15,
2006-08-04,Price,Price on NSE,21.76,
2006-08-11,Price,Price on NSE,22.61,
2006-08-18,Price,Price on NSE,23.63,
2006-08-25,Price,Price on NSE,22.97,
2006-09-01,Price,Price on NSE,22.54,
2006-09-08,Price,Price on NSE,23.66,
2006-09-15,Price,Price on NSE,23.76,
2006-09-22,Price,Price on NSE,24.44,
2006-09-29,Price,Price on NSE,29.69,
2006-10-06,Price,Price on NSE,35.75,
2006-10-13,Price,Price on NSE,32.53,
2006-10-21,Price,Price on NSE,35.43,
2006-10-27,Price,Price on NSE,35.48,
2006-11-03,Price,Price on NSE,37.00,
2006-11-10,Price,Price on NSE,40.69,
2006-11-17,Price,Price on NSE,38.90,
2006-11-24,Price,Price on NSE,37.00,
2006-12-01,Price,Price on NSE,38.79,
2006-12-08,Price,Price on NSE,38.02,
2006-12-15,Price,Price on NSE,36.84,
2006-12-22,Price,Price on NSE,34.99,
2006-12-29,Price,Price on NSE,36.40,
2007-01-05,Price,Price on NSE,36.56,
2007-01-12,Price,Price on NSE,34.69,
2007-01-19,Price,Price on NSE,34.85,
2007-01-25,Price,Price on NSE,36.38,
2007-02-02,Price,Price on NSE,37.18,
2007-02-09,Price,Price on NSE,36.91,
