date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,163.48,
2005-04-08,Price,Price on NSE,159.73,
2005-04-15,Price,Price on NSE,157.46,
2005-04-22,Price,Price on NSE,159.65,
2005-04-29,Price,Price on NSE,154.56,
2005-05-06,Price,Price on NSE,152.84,
2005-05-13,Price,Price on NSE,152.14,
2005-05-20,Price,Price on NSE,149.42,
2005-05-27,Price,Price on NSE,151.07,
2005-06-04,Price,Price on NSE,146.98,
2005-06-10,Price,Price on NSE,146.13,
2005-06-17,Price,Price on NSE,145.56,
2005-06-24,Price,Price on NSE,146.08,
2005-07-01,Price,Price on NSE,141.01,
2005-07-08,Price,Price on NSE,140.97,
2005-07-15,Price,Price on NSE,145.64,
2005-07-22,Price,Price on NSE,153.86,
2005-07-29,Price,Price on NSE,156.39,
2005-08-05,Price,Price on NSE,165.06,
2005-08-12,Price,Price on NSE,174.92,
2005-08-19,Price,Price on NSE,173.08,
2005-08-26,Price,Price on NSE,173.10,
2005-09-02,Price,Price on NSE,170.55,
2005-09-09,Price,Price on NSE,172.96,
2005-09-16,Price,Price on NSE,184.90,
2005-09-23,Price,Price on NSE,178.47,
2005-09-30,Price,Price on NSE,175.71,
2005-10-07,Price,Price on NSE,174.67,
2005-10-14,Price,Price on NSE,161.05,
2005-10-21,Price,Price on NSE,148.22,
2005-10-28,Price,Price on NSE,146.69,
2005-11-02,Price,Price on NSE,156.61,
2005-11-11,Price,Price on NSE,164.80,
2005-11-18,Price,Price on NSE,170.34,
2005-11-26,Price,Price on NSE,181.85,
2005-12-02,Price,Price on NSE,189.78,
2005-12-09,Price,Price on NSE,184.25,
2005-12-16,Price,Price on NSE,183.06,
2005-12-23,Price,Price on NSE,177.47,
2005-12-30,Price,Price on NSE,185.00,
2006-01-06,Price,Price on NSE,195.41,
2006-01-13,Price,Price on NSE,192.49,
2006-01-20,Price,Price on NSE,191.01,
2006-01-27,Price,Price on NSE,191.05,
2006-02-03,Price,Price on NSE,202.87,
2006-02-10,Price,Price on NSE,209.44,
2006-02-17,Price,Price on NSE,214.68,
2006-02-24,Price,Price on NSE,219.20,
2006-03-03,Price,Price on NSE,240.82,
2006-03-10,Price,Price on NSE,251.64,
2006-03-17,Price,Price on NSE,255.92,
2006-03-24,Price,Price on NSE,261.72,
2006-03-31,Price,Price on NSE,274.23,
2006-04-07,Price,Price on NSE,292.30,
2006-04-13,Price,Price on NSE,277.59,
2006-04-21,Price,Price on NSE,319.14,
2006-04-29,Price,Price on NSE,334.66,
2006-05-05,Price,Price on NSE,321.48,
2006-05-12,Price,Price on NSE,299.42,
2006-05-19,Price,Price on NSE,256.01,
2006-05-26,Price,Price on NSE,259.18,
2006-06-02,Price,Price on NSE,239.37,
2006-06-09,Price,Price on NSE,236.60,
2006-06-16,Price,Price on NSE,235.24,
2006-06-25,Price,Price on NSE,248.62,
2006-06-30,Price,Price on NSE,257.25,
2006-07-07,Price,Price on NSE,252.82,
2006-07-14,Price,Price on NSE,260.55,
2006-07-21,Price,Price on NSE,250.43,
2006-07-28,Price,Price on NSE,281.19,
2006-08-04,Price,Price on NSE,284.70,
2006-08-11,Price,Price on NSE,291.35,
2006-08-18,Price,Price on NSE,293.35,
2006-08-25,Price,Price on NSE,293.06,
2006-09-01,Price,Price on NSE,299.34,
2006-09-08,Price,Price on NSE,310.45,
2006-09-15,Price,Price on NSE,330.36,
2006-09-22,Price,Price on NSE,334.74,
2006-09-29,Price,Price on NSE,335.69,
2006-10-06,Price,Price on NSE,335.16,
2006-10-13,Price,Price on NSE,356.13,
2006-10-21,Price,Price on NSE,349.61,
2006-10-27,Price,Price on NSE,360.46,
2006-11-03,Price,Price on NSE,372.82,
2006-11-10,Price,Price on NSE,358.56,
2006-11-17,Price,Price on NSE,356.22,
2006-11-24,Price,Price on NSE,355.61,
2006-12-01,Price,Price on NSE,366.84,
