date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,333.40,
2005-04-08,Price,Price on NSE,340.60,
2005-04-15,Price,Price on NSE,341.90,
2005-04-22,Price,Price on NSE,359.45,
2005-04-29,Price,Price on NSE,372.70,
2005-05-06,Price,Price on NSE,367.50,
2005-05-13,Price,Price on NSE,373.45,
2005-05-20,Price,Price on NSE,360.20,
2005-05-27,Price,Price on NSE,355.05,
2005-06-04,Price,Price on NSE,350.25,
2005-06-10,Price,Price on NSE,348.00,
2005-06-17,Price,Price on NSE,338.85,
2005-06-24,Price,Price on NSE,346.90,
2005-07-01,Price,Price on NSE,353.85,
2005-07-08,Price,Price on NSE,350.30,
2005-07-15,Price,Price on NSE,353.80,
2005-07-22,Price,Price on NSE,361.30,
2005-07-29,Price,Price on NSE,372.10,
2005-08-05,Price,Price on NSE,381.25,
2005-08-12,Price,Price on NSE,397.75,
2005-08-19,Price,Price on NSE,427.45,
2005-08-26,Price,Price on NSE,424.20,
2005-09-02,Price,Price on NSE,459.60,
2005-09-09,Price,Price on NSE,479.40,
2005-09-16,Price,Price on NSE,507.00,
2005-09-23,Price,Price on NSE,457.00,
2005-09-30,Price,Price on NSE,460.75,
2005-10-07,Price,Price on NSE,468.50,
2005-10-14,Price,Price on NSE,455.85,
2005-10-21,Price,Price on NSE,410.15,
2005-10-28,Price,Price on NSE,430.80,
2005-11-02,Price,Price on NSE,456.15,
2005-11-11,Price,Price on NSE,450.00,
2005-11-18,Price,Price on NSE,451.10,
2005-11-26,Price,Price on NSE,467.05,
2005-12-02,Price,Price on NSE,523.40,
2005-12-09,Price,Price on NSE,510.15,
2005-12-16,Price,Price on NSE,496.20,
2005-12-23,Price,Price on NSE,487.40,
2005-12-30,Price,Price on NSE,485.75,
2006-01-06,Price,Price on NSE,496.45,
2006-01-13,Price,Price on NSE,533.00,
2006-01-20,Price,Price on NSE,569.00,
2006-01-27,Price,Price on NSE,585.35,
2006-02-03,Price,Price on NSE,548.20,
2006-02-10,Price,Price on NSE,567.25,
2006-02-17,Price,Price on NSE,602.30,
2006-02-24,Price,Price on NSE,655.45,
2006-03-03,Price,Price on NSE,786.85,
2006-03-10,Price,Price on NSE,876.45,
2006-03-17,Price,Price on NSE,848.00,
2006-03-24,Price,Price on NSE,847.80,
2006-03-31,Price,Price on NSE,890.55,
2006-04-07,Price,Price on NSE,985.25,
2006-04-13,Price,Price on NSE,997.20,
2006-04-21,Price,Price on NSE,1093.30,
2006-04-29,Price,Price on NSE,1128.35,
2006-05-05,Price,Price on NSE,1050.20,
2006-05-12,Price,Price on NSE,1046.25,
2006-05-19,Price,Price on NSE,959.20,
2006-05-26,Price,Price on NSE,908.30,
2006-06-02,Price,Price on NSE,849.90,
2006-06-09,Price,Price on NSE,756.15,
2006-06-16,Price,Price on NSE,742.25,
2006-06-25,Price,Price on NSE,836.60,
2006-06-30,Price,Price on NSE,777.00,
2006-07-07,Price,Price on NSE,800.75,
2006-07-14,Price,Price on NSE,901.15,
2006-07-21,Price,Price on NSE,833.90,
2006-07-28,Price,Price on NSE,926.85,
2006-08-04,Price,Price on NSE,950.45,
2006-08-11,Price,Price on NSE,941.05,
2006-08-18,Price,Price on NSE,946.50,
2006-08-25,Price,Price on NSE,941.50,
2006-09-01,Price,Price on NSE,946.65,
2006-09-08,Price,Price on NSE,961.90,
2006-09-15,Price,Price on NSE,1056.65,
2006-09-22,Price,Price on NSE,1032.55,
2006-09-29,Price,Price on NSE,1005.15,
2006-10-06,Price,Price on NSE,1117.10,
2006-10-13,Price,Price on NSE,1133.45,
2006-10-21,Price,Price on NSE,1129.20,
2006-10-27,Price,Price on NSE,1135.55,
2006-11-03,Price,Price on NSE,1219.95,
2006-11-10,Price,Price on NSE,1324.35,
2006-11-17,Price,Price on NSE,1343.95,
2006-11-24,Price,Price on NSE,1337.10,
2006-12-01,Price,Price on NSE,1391.60,
2006-12-08,Price,Price on NSE,1396.00,
2006-12-15,Price,Price on NSE,1406.10,
2006-12-22,Price,Price on NSE,1377.00,
2006-12-29,Price,Price on NSE,1454.80,
2007-01-05,Price,Price on NSE,1455.65,
2007-01-12,Price,Price on NSE,1471.50,
2007-01-19,Price,Price on NSE,1478.60,
2007-01-25,Price,Price on NSE,1426.50,
2007-02-02,Price,Price on NSE,1408.90,
2007-02-09,Price,Price on NSE,1405.40,
2007-02-15,Price,Price on NSE,1349.95,
2007-02-23,Price,Price on NSE,1246.15,
2007-03-02,Price,Price on NSE,1187.95,
2007-03-09,Price,Price on NSE,1025.25,
2007-03-16,Price,Price on NSE,901.80,
2007-03-23,Price,Price on NSE,992.75,
2007-03-30,Price,Price on NSE,922.55,
2007-04-05,Price,Price on NSE,900.25,
2007-04-13,Price,Price on NSE,914.65,
2007-04-20,Price,Price on NSE,1027.70,
2007-04-27,Price,Price on NSE,1050.05,
2007-05-04,Price,Price on NSE,1077.05,
2007-05-11,Price,Price on NSE,1037.70,
2007-05-18,Price,Price on NSE,1103.40,
2007-05-25,Price,Price on NSE,1096.85,
2007-06-01,Price,Price on NSE,1188.35,
2007-06-08,Price,Price on NSE,1170.45,
2007-06-15,Price,Price on NSE,1112.50,
2007-06-22,Price,Price on NSE,1193.90,
2007-06-29,Price,Price on NSE,1279.25,
2007-07-06,Price,Price on NSE,1335.15,
2007-07-13,Price,Price on NSE,1364.60,
2007-07-20,Price,Price on NSE,1451.15,
2007-07-27,Price,Price on NSE,1216.35,
2007-08-03,Price,Price on NSE,1267.65,
2007-08-10,Price,Price on NSE,1261.20,
2007-08-17,Price,Price on NSE,1211.50,
2007-08-24,Price,Price on NSE,1189.95,
2007-08-31,Price,Price on NSE,1229.80,
2007-09-07,Price,Price on NSE,1355.65,
2007-09-14,Price,Price on NSE,1338.85,
2007-09-21,Price,Price on NSE,1468.05,
2007-09-28,Price,Price on NSE,1523.20,
2007-10-05,Price,Price on NSE,1654.30,
2007-10-12,Price,Price on NSE,1564.30,
2007-10-19,Price,Price on NSE,1374.05,
2007-10-26,Price,Price on NSE,1481.80,
2007-11-02,Price,Price on NSE,1431.30,
2007-11-09,Price,Price on NSE,1392.15,
2007-11-16,Price,Price on NSE,1402.80,
2007-11-23,Price,Price on NSE,1396.95,
2007-11-30,Price,Price on NSE,1401.65,
2007-12-07,Price,Price on NSE,1461.35,
2007-12-14,Price,Price on NSE,1507.20,
2007-12-20,Price,Price on NSE,1355.40,
2007-12-28,Price,Price on NSE,1318.85,
2008-01-04,Price,Price on NSE,1353.85,
2008-01-11,Price,Price on NSE,1324.40,
2008-01-18,Price,Price on NSE,1256.85,
2008-01-25,Price,Price on NSE,1311.50,
2008-02-01,Price,Price on NSE,1271.60,
2008-02-08,Price,Price on NSE,1210.40,
2008-02-15,Price,Price on NSE,1242.20,
2008-02-22,Price,Price on NSE,1236.55,
2008-02-29,Price,Price on NSE,1219.00,
2008-03-07,Price,Price on NSE,1127.85,
2008-03-14,Price,Price on NSE,1091.40,
2008-03-19,Price,Price on NSE,981.75,
2008-03-28,Price,Price on NSE,1008.00,
2008-04-04,Price,Price on NSE,1034.00,
2008-04-11,Price,Price on NSE,1112.90,
2008-04-17,Price,Price on NSE,1082.90,
2008-04-25,Price,Price on NSE,1031.90,
2008-05-02,Price,Price on NSE,990.10,
2008-05-09,Price,Price on NSE,922.25,
2008-05-16,Price,Price on NSE,884.40,
2008-05-23,Price,Price on NSE,874.05,
2008-05-30,Price,Price on NSE,786.10,
2008-06-06,Price,Price on NSE,728.30,
2008-06-13,Price,Price on NSE,662.80,
2008-06-20,Price,Price on NSE,687.55,
2008-06-27,Price,Price on NSE,622.25,
2008-07-04,Price,Price on NSE,530.45,
2008-07-11,Price,Price on NSE,528.10,
2008-07-18,Price,Price on NSE,511.95,
2008-07-25,Price,Price on NSE,605.10,
2008-08-01,Price,Price on NSE,595.50,
2008-08-08,Price,Price on NSE,639.20,
2008-08-14,Price,Price on NSE,631.80,
2008-08-22,Price,Price on NSE,608.00,
2008-08-29,Price,Price on NSE,589.10,
2008-09-05,Price,Price on NSE,592.30,
2008-09-12,Price,Price on NSE,577.15,
2008-09-19,Price,Price on NSE,552.40,
2008-09-26,Price,Price on NSE,529.65,
2008-10-03,Price,Price on NSE,502.30,
2008-10-10,Price,Price on NSE,509.65,
2008-10-17,Price,Price on NSE,464.95,
2008-10-24,Price,Price on NSE,389.10,
2008-10-31,Price,Price on NSE,398.85,
2008-11-07,Price,Price on NSE,424.70,
2008-11-14,Price,Price on NSE,438.85,
2008-11-21,Price,Price on NSE,396.55,
2008-11-28,Price,Price on NSE,356.00,
2008-12-05,Price,Price on NSE,349.20,
2008-12-12,Price,Price on NSE,450.25,
2008-12-19,Price,Price on NSE,496.70,
2008-12-26,Price,Price on NSE,470.00,
2009-01-02,Price,Price on NSE,477.85,
2009-01-09,Price,Price on NSE,505.55,
2009-01-16,Price,Price on NSE,479.45,
2009-01-23,Price,Price on NSE,460.85,
2009-01-30,Price,Price on NSE,497.50,
2009-02-06,Price,Price on NSE,516.90,
2009-02-13,Price,Price on NSE,565.80,
2009-02-20,Price,Price on NSE,558.15,
2009-02-27,Price,Price on NSE,563.00,
2009-03-06,Price,Price on NSE,575.95,
2009-03-13,Price,Price on NSE,612.80,
2009-03-20,Price,Price on NSE,610.05,
2009-03-27,Price,Price on NSE,668.45,
2009-04-02,Price,Price on NSE,738.75,
2009-04-09,Price,Price on NSE,721.05,
2009-04-17,Price,Price on NSE,810.90,
2009-04-24,Price,Price on NSE,814.00,
2009-04-29,Price,Price on NSE,774.20,
2009-05-08,Price,Price on NSE,814.75,
2009-05-15,Price,Price on NSE,822.50,
2009-05-22,Price,Price on NSE,1022.55,
2009-05-29,Price,Price on NSE,1018.05,
2009-06-05,Price,Price on NSE,1097.45,
2009-06-12,Price,Price on NSE,1202.50,
2009-06-19,Price,Price on NSE,1189.85,
2009-06-26,Price,Price on NSE,1189.05,
2009-07-03,Price,Price on NSE,1198.20,
2009-07-10,Price,Price on NSE,1217.70,
2009-07-17,Price,Price on NSE,1347.60,
2009-07-24,Price,Price on NSE,1449.70,
2009-07-31,Price,Price on NSE,1684.45,
2009-08-07,Price,Price on NSE,1627.95,
2009-08-14,Price,Price on NSE,1556.90,
2009-08-21,Price,Price on NSE,1506.75,
2009-08-28,Price,Price on NSE,1540.95,
2009-09-04,Price,Price on NSE,1498.95,
2009-09-11,Price,Price on NSE,1529.75,
2009-09-18,Price,Price on NSE,1692.00,
2009-09-25,Price,Price on NSE,1640.90,
2009-10-01,Price,Price on NSE,1647.55,
2009-10-09,Price,Price on NSE,1564.90,
2009-10-17,Price,Price on NSE,1598.50,
2009-10-23,Price,Price on NSE,1501.55,
2009-10-30,Price,Price on NSE,1592.55,
2009-11-06,Price,Price on NSE,1647.70,
2009-11-13,Price,Price on NSE,1709.35,
2009-11-20,Price,Price on NSE,1708.15,
2009-11-27,Price,Price on NSE,1785.30,
2009-12-04,Price,Price on NSE,1850.55,
2009-12-11,Price,Price on NSE,1838.85,
2009-12-18,Price,Price on NSE,1853.60,
2009-12-24,Price,Price on NSE,1870.15,
2009-12-31,Price,Price on NSE,1932.05,
2010-01-08,Price,Price on NSE,2220.05,
2010-01-15,Price,Price on NSE,2220.50,
2010-01-22,Price,Price on NSE,2087.55,
2010-01-29,Price,Price on NSE,1972.60,
2010-02-06,Price,Price on NSE,1995.10,
2010-02-11,Price,Price on NSE,1995.05,
2010-02-19,Price,Price on NSE,2135.60,
2010-02-26,Price,Price on NSE,2141.05,
2010-03-05,Price,Price on NSE,2204.00,
2010-03-12,Price,Price on NSE,2279.50,
2010-03-19,Price,Price on NSE,2241.35,
2010-03-26,Price,Price on NSE,2271.45,
2010-04-01,Price,Price on NSE,2368.95,
2010-04-09,Price,Price on NSE,2311.60,
2010-04-16,Price,Price on NSE,2251.30,
2010-04-23,Price,Price on NSE,2279.95,
2010-04-30,Price,Price on NSE,2170.30,
2010-05-07,Price,Price on NSE,2088.00,
2010-05-14,Price,Price on NSE,2114.75,
2010-05-21,Price,Price on NSE,1997.35,
2010-05-28,Price,Price on NSE,1944.65,
2010-06-04,Price,Price on NSE,2037.35,
2010-06-11,Price,Price on NSE,2089.75,
2010-06-18,Price,Price on NSE,2016.20,
2010-06-25,Price,Price on NSE,2025.00,
2010-07-02,Price,Price on NSE,1958.40,
2010-07-09,Price,Price on NSE,1975.90,
2010-07-16,Price,Price on NSE,1939.90,
2010-07-23,Price,Price on NSE,1831.05,
2010-07-30,Price,Price on NSE,1794.20,
2010-08-06,Price,Price on NSE,1824.45,
2010-08-13,Price,Price on NSE,1880.95,
2010-08-20,Price,Price on NSE,1905.75,
2010-08-27,Price,Price on NSE,1835.30,
2010-09-03,Price,Price on NSE,1923.85,
2010-09-09,Price,Price on NSE,2016.65,
2010-09-17,Price,Price on NSE,2030.90,
2010-09-24,Price,Price on NSE,2039.80,
2010-10-01,Price,Price on NSE,2076.75,
2010-10-08,Price,Price on NSE,2067.55,
2010-10-15,Price,Price on NSE,2033.90,
2010-10-22,Price,Price on NSE,2028.15,
2010-10-29,Price,Price on NSE,2085.40,
2010-11-05,Price,Price on NSE,2296.45,
2010-11-12,Price,Price on NSE,2247.95,
2010-11-19,Price,Price on NSE,2168.05,
2010-11-26,Price,Price on NSE,1960.20,
2010-12-03,Price,Price on NSE,2014.10,
2010-12-10,Price,Price on NSE,1990.50,
2010-12-16,Price,Price on NSE,1986.30,
2010-12-24,Price,Price on NSE,1992.65,
2010-12-31,Price,Price on NSE,2020.65,
2011-01-07,Price,Price on NSE,1922.20,
2011-01-14,Price,Price on NSE,1813.95,
2011-01-21,Price,Price on NSE,1763.50,
2011-01-28,Price,Price on NSE,1663.35,
2011-02-04,Price,Price on NSE,1608.35,
2011-02-11,Price,Price on NSE,1588.10,
2011-02-18,Price,Price on NSE,1719.70,
2011-02-25,Price,Price on NSE,1710.60,
2011-03-04,Price,Price on NSE,1716.95,
2011-03-11,Price,Price on NSE,1774.95,
2011-03-18,Price,Price on NSE,1874.85,
2011-03-25,Price,Price on NSE,1874.30,
2011-04-01,Price,Price on NSE,2040.10,
2011-04-08,Price,Price on NSE,1951.65,
2011-04-15,Price,Price on NSE,1972.85,
2011-04-21,Price,Price on NSE,2029.45,
2011-04-29,Price,Price on NSE,2010.10,
2011-05-06,Price,Price on NSE,1885.50,
2011-05-13,Price,Price on NSE,1837.30,
2011-05-20,Price,Price on NSE,1846.00,
2011-05-27,Price,Price on NSE,1861.85,
2011-06-03,Price,Price on NSE,1795.55,
2011-06-10,Price,Price on NSE,1767.65,
2011-06-17,Price,Price on NSE,1720.00,
2011-06-24,Price,Price on NSE,1685.15,
2011-07-01,Price,Price on NSE,1726.55,
2011-07-08,Price,Price on NSE,1747.10,
2011-07-15,Price,Price on NSE,1801.95,
2011-07-22,Price,Price on NSE,1821.25,
2011-07-29,Price,Price on NSE,1779.25,
2011-08-05,Price,Price on NSE,1722.35,
2011-08-12,Price,Price on NSE,1721.20,
2011-08-19,Price,Price on NSE,1654.25,
2011-08-26,Price,Price on NSE,1652.05,
2011-09-02,Price,Price on NSE,1674.50,
2011-09-09,Price,Price on NSE,1641.35,
2011-09-16,Price,Price on NSE,1693.35,
2011-09-23,Price,Price on NSE,1803.50,
