date,metric,label,value,delivery
2005-04-01,Price,Price on BSE,11.15,
2005-04-08,Price,Price on BSE,10.46,
2005-04-15,Price,Price on BSE,10.45,
2005-04-22,Price,Price on BSE,10.79,
2005-04-29,Price,Price on BSE,10.72,
2005-05-06,Price,Price on BSE,10.52,
2005-05-13,Price,Price on BSE,11.24,
2005-05-20,Price,Price on BSE,11.11,
2005-05-27,Price,Price on BSE,10.84,
2005-06-04,Price,Price on BSE,13.15,
2005-06-10,Price,Price on BSE,11.69,
2005-06-17,Price,Price on BSE,11.90,
2005-06-24,Price,Price on BSE,11.31,
2005-07-01,Price,Price on BSE,12.09,
2005-07-08,Price,Price on BSE,13.70,
2005-07-15,Price,Price on BSE,15.56,
2005-07-22,Price,Price on BSE,15.82,
2005-07-29,Price,Price on BSE,14.51,
2005-08-05,Price,Price on BSE,15.03,
2005-08-12,Price,Price on BSE,16.43,
2005-08-19,Price,Price on BSE,16.54,
2005-08-26,Price,Price on BSE,17.54,
2005-09-02,Price,Price on BSE,20.29,
2005-09-09,Price,Price on BSE,20.44,
2005-09-16,Price,Price on BSE,22.72,
2005-09-23,Price,Price on BSE,23.17,
2005-09-30,Price,Price on BSE,23.46,
2005-10-07,Price,Price on BSE,24.45,
2005-10-14,Price,Price on BSE,23.00,
2005-10-21,Price,Price on BSE,18.47,
2005-10-28,Price,Price on BSE,18.15,
2005-11-02,Price,Price on BSE,18.49,
2005-11-11,Price,Price on BSE,19.13,
2005-11-18,Price,Price on BSE,18.78,
2005-11-26,Price,Price on BSE,21.19,
2005-12-02,Price,Price on BSE,23.00,
2005-12-09,Price,Price on BSE,21.27,
2005-12-16,Price,Price on BSE,23.22,
2005-12-23,Price,Price on BSE,22.55,
2005-12-30,Price,Price on BSE,22.22,
2006-01-06,Price,Price on BSE,23.11,
2006-01-13,Price,Price on BSE,22.50,
2006-01-20,Price,Price on BSE,22.91,
2006-01-27,Price,Price on BSE,22.66,
2006-02-03,Price,Price on BSE,23.15,
2006-02-10,Price,Price on BSE,22.83,
2006-02-17,Price,Price on BSE,21.81,
2006-02-24,Price,Price on BSE,20.90,
2006-03-03,Price,Price on BSE,21.87,
2006-03-10,Price,Price on BSE,23.97,
2006-03-17,Price,Price on BSE,26.36,
2006-03-24,Price,Price on BSE,25.52,
2006-03-31,Price,Price on BSE,25.45,
2006-04-07,Price,Price on BSE,26.35,
2006-04-13,Price,Price on BSE,25.70,
2006-04-21,Price,Price on BSE,25.96,
2006-04-29,Price,Price on BSE,23.80,
2006-05-05,Price,Price on BSE,26.63,
2006-05-12,Price,Price on BSE,26.53,
2006-05-19,Price,Price on BSE,24.99,
2006-05-26,Price,Price on BSE,24.11,
2006-06-02,Price,Price on BSE,24.06,
2006-06-09,Price,Price on BSE,18.95,
2006-06-16,Price,Price on BSE,18.90,
2006-06-25,Price,Price on BSE,19.34,
2006-06-30,Price,Price on BSE,20.03,
2006-07-07,Price,Price on BSE,19.58,
2006-07-14,Price,Price on BSE,18.56,
2006-07-21,Price,Price on BSE,16.63,
2006-07-28,Price,Price on BSE,18.49,
2006-08-04,Price,Price on BSE,17.93,
2006-08-11,Price,Price on BSE,19.44,
2006-08-18,Price,Price on BSE,19.43,
2006-08-25,Price,Price on BSE,20.04,
2006-09-01,Price,Price on BSE,20.76,
2006-09-08,Price,Price on BSE,21.78,
2006-09-15,Price,Price on BSE,21.94,
2006-09-22,Price,Price on BSE,21.71,
2006-09-29,Price,Price on BSE,21.56,
2006-10-06,Price,Price on BSE,22.32,
2006-10-13,Price,Price on BSE,22.24,
2006-10-21,Price,Price on BSE,22.34,
2006-10-27,Price,Price on BSE,22.22,
2006-11-03,Price,Price on BSE,23.40,
2006-11-10,Price,Price on BSE,23.39,
2006-11-17,Price,Price on BSE,24.77,
2006-11-24,Price,Price on BSE,24.98,
2006-12-01,Price,Price on BSE,25.63,
2006-12-08,Price,Price on BSE,24.17,
2006-12-15,Price,Price on BSE,25.70,
2006-12-22,Price,Price on BSE,25.97,
2006-12-29,Price,Price on BSE,26.51,
2007-01-05,Price,Price on BSE,26.89,
2007-01-12,Price,Price on BSE,26.10,
2007-01-19,Price,Price on BSE,27.01,
2007-01-25,Price,Price on BSE,26.81,
2007-02-02,Price,Price on BSE,26.87,
2007-02-09,Price,Price on BSE,26.76,
2007-02-15,Price,Price on BSE,26.73,
2007-02-23,Price,Price on BSE,24.45,
2007-03-02,Price,Price on BSE,25.01,
