date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,45.71,
2005-04-08,Price,Price on NSE,45.24,
2005-04-15,Price,Price on NSE,45.36,
2005-04-22,Price,Price on NSE,48.65,
2005-04-29,Price,Price on NSE,49.06,
2005-05-06,Price,Price on NSE,48.51,
2005-05-13,Price,Price on NSE,49.97,
2005-05-20,Price,Price on NSE,50.23,
2005-05-27,Price,Price on NSE,53.48,
2005-06-04,Price,Price on NSE,54.31,
2005-06-10,Price,Price on NSE,54.05,
2005-06-17,Price,Price on NSE,55.07,
2005-06-24,Price,Price on NSE,55.91,
2005-07-01,Price,Price on NSE,57.78,
2005-07-08,Price,Price on NSE,60.66,
2005-07-15,Price,Price on NSE,59.46,
2005-07-22,Price,Price on NSE,61.85,
2005-07-29,Price,Price on NSE,61.07,
2005-08-05,Price,Price on NSE,60.29,
2005-08-12,Price,Price on NSE,60.83,
2005-08-19,Price,Price on NSE,61.20,
2005-08-26,Price,Price on NSE,62.15,
2005-09-02,Price,Price on NSE,62.26,
2005-09-09,Price,Price on NSE,62.47,
2005-09-16,Price,Price on NSE,64.84,
2005-09-23,Price,Price on NSE,63.09,
2005-09-30,Price,Price on NSE,65.75,
2005-10-07,Price,Price on NSE,63.66,
2005-10-14,Price,Price on NSE,64.83,
2005-10-21,Price,Price on NSE,64.30,
2005-10-28,Price,Price on NSE,58.17,
2005-11-02,Price,Price on NSE,58.86,
2005-11-11,Price,Price on NSE,60.90,
2005-11-18,Price,Price on NSE,63.41,
2005-11-26,Price,Price on NSE,64.58,
2005-12-02,Price,Price on NSE,67.60,
2005-12-09,Price,Price on NSE,68.02,
2005-12-16,Price,Price on NSE,69.16,
2005-12-23,Price,Price on NSE,65.96,
2005-12-30,Price,Price on NSE,66.97,
2006-01-06,Price,Price on NSE,66.78,
2006-01-13,Price,Price on NSE,66.24,
2006-01-20,Price,Price on NSE,65.83,
2006-01-27,Price,Price on NSE,67.21,
2006-02-03,Price,Price on NSE,75.64,
2006-02-10,Price,Price on NSE,77.59,
2006-02-17,Price,Price on NSE,74.69,
2006-02-24,Price,Price on NSE,76.58,
2006-03-03,Price,Price on NSE,76.76,
2006-03-10,Price,Price on NSE,77.25,
2006-03-17,Price,Price on NSE,79.59,
2006-03-24,Price,Price on NSE,81.55,
2006-03-31,Price,Price on NSE,84.47,
2006-04-07,Price,Price on NSE,87.71,
2006-04-13,Price,Price on NSE,83.92,
2006-04-21,Price,Price on NSE,87.52,
2006-04-29,Price,Price on NSE,85.10,
2006-05-05,Price,Price on NSE,90.47,
2006-05-12,Price,Price on NSE,85.95,
2006-05-19,Price,Price on NSE,82.87,
2006-05-26,Price,Price on NSE,83.47,
2006-06-02,Price,Price on NSE,79.97,
2006-06-09,Price,Price on NSE,70.77,
2006-06-16,Price,Price on NSE,72.35,
2006-06-25,Price,Price on NSE,73.40,
2006-06-30,Price,Price on NSE,77.40,
2006-07-07,Price,Price on NSE,73.13,
2006-07-14,Price,Price on NSE,74.07,
2006-07-21,Price,Price on NSE,73.57,
2006-07-28,Price,Price on NSE,80.82,
2006-08-04,Price,Price on NSE,77.82,
2006-08-11,Price,Price on NSE,79.68,
2006-08-18,Price,Price on NSE,85.10,
2006-08-25,Price,Price on NSE,88.01,
2006-09-01,Price,Price on NSE,90.76,
2006-09-08,Price,Price on NSE,90.33,
2006-09-15,Price,Price on NSE,91.27,
2006-09-22,Price,Price on NSE,90.88,
2006-09-29,Price,Price on NSE,91.52,
2006-10-06,Price,Price on NSE,91.91,
2006-10-13,Price,Price on NSE,90.95,
2006-10-21,Price,Price on NSE,89.53,
2006-10-27,Price,Price on NSE,89.32,
2006-11-03,Price,Price on NSE,89.44,
2006-11-10,Price,Price on NSE,93.64,
2006-11-17,Price,Price on NSE,95.77,
2006-11-24,Price,Price on NSE,96.52,
2006-12-01,Price,Price on NSE,101.98,
2006-12-08,Price,Price on NSE,97.73,
2006-12-15,Price,Price on NSE,96.31,
2006-12-22,Price,Price on NSE,93.45,
2006-12-29,Price,Price on NSE,96.53,
2007-01-05,Price,Price on NSE,96.38,
2007-01-12,Price,Price on NSE,101.25,
2007-01-19,Price,Price on NSE,101.01,
2007-01-25,Price,Price on NSE,102.16,
2007-02-02,Price,Price on NSE,102.57,
2007-02-09,Price,Price on NSE,101.65,
2007-02-15,Price,Price on NSE,101.31,
2007-02-23,Price,Price on NSE,95.73,
2007-03-02,Price,Price on NSE,95.22,
2007-03-09,Price,Price on NSE,96.74,
2007-03-16,Price,Price on NSE,99.48,
2007-03-23,Price,Price on NSE,101.24,
2007-03-30,Price,Price on NSE,103.81,
2007-04-05,Price,Price on NSE,102.40,
2007-04-13,Price,Price on NSE,107.91,
2007-04-20,Price,Price on NSE,116.19,
2007-04-27,Price,Price on NSE,102.00,
2007-05-04,Price,Price on NSE,100.15,
2007-05-11,Price,Price on NSE,97.74,
2007-05-18,Price,Price on NSE,101.35,
2007-05-25,Price,Price on NSE,106.51,
2007-06-01,Price,Price on NSE,109.67,
2007-06-08,Price,Price on NSE,106.01,
2007-06-15,Price,Price on NSE,105.75,
2007-06-22,Price,Price on NSE,106.52,
2007-06-29,Price,Price on NSE,102.55,
2007-07-06,Price,Price on NSE,101.41,
2007-07-13,Price,Price on NSE,101.61,
2007-07-20,Price,Price on NSE,98.01,
2007-07-27,Price,Price on NSE,93.39,
2007-08-03,Price,Price on NSE,92.63,
2007-08-10,Price,Price on NSE,91.51,
2007-08-17,Price,Price on NSE,93.56,
2007-08-24,Price,Price on NSE,89.79,
2007-08-31,Price,Price on NSE,92.94,
2007-09-07,Price,Price on NSE,101.09,
2007-09-14,Price,Price on NSE,99.67,
2007-09-21,Price,Price on NSE,97.28,
2007-09-28,Price,Price on NSE,96.48,
2007-10-05,Price,Price on NSE,95.67,
2007-10-12,Price,Price on NSE,97.12,
2007-10-19,Price,Price on NSE,98.67,
2007-10-26,Price,Price on NSE,104.06,
2007-11-02,Price,Price on NSE,107.08,
2007-11-09,Price,Price on NSE,103.75,
2007-11-16,Price,Price on NSE,110.59,
2007-11-23,Price,Price on NSE,110.11,
2007-11-30,Price,Price on NSE,110.26,
2007-12-07,Price,Price on NSE,111.34,
2007-12-14,Price,Price on NSE,113.85,
2007-12-20,Price,Price on NSE,118.19,
2007-12-28,Price,Price on NSE,121.48,
2008-01-04,Price,Price on NSE,111.15,
2008-01-11,Price,Price on NSE,114.59,
2008-01-18,Price,Price on NSE,108.83,
2008-01-25,Price,Price on NSE,97.62,
2008-02-01,Price,Price on NSE,111.90,
2008-02-08,Price,Price on NSE,111.91,
2008-02-15,Price,Price on NSE,111.39,
2008-02-22,Price,Price on NSE,110.45,
2008-02-29,Price,Price on NSE,122.70,
2008-03-07,Price,Price on NSE,131.85,
2008-03-14,Price,Price on NSE,129.27,
2008-03-19,Price,Price on NSE,125.99,
2008-03-28,Price,Price on NSE,125.24,
2008-04-04,Price,Price on NSE,124.12,
2008-04-11,Price,Price on NSE,127.39,
2008-04-17,Price,Price on NSE,126.92,
2008-04-25,Price,Price on NSE,139.11,
2008-05-02,Price,Price on NSE,143.67,
2008-05-09,Price,Price on NSE,139.40,
2008-05-16,Price,Price on NSE,138.25,
2008-05-23,Price,Price on NSE,132.89,
2008-05-30,Price,Price on NSE,140.27,
2008-06-06,Price,Price on NSE,142.38,
2008-06-13,Price,Price on NSE,147.21,
2008-06-20,Price,Price on NSE,146.04,
2008-06-27,Price,Price on NSE,134.13,
2008-07-04,Price,Price on NSE,132.31,
2008-07-11,Price,Price on NSE,131.71,
2008-07-18,Price,Price on NSE,129.81,
2008-07-25,Price,Price on NSE,141.16,
2008-08-01,Price,Price on NSE,144.46,
2008-08-08,Price,Price on NSE,144.07,
2008-08-14,Price,Price on NSE,145.26,
2008-08-22,Price,Price on NSE,145.23,
2008-08-29,Price,Price on NSE,147.23,
2008-09-05,Price,Price on NSE,150.03,
2008-09-12,Price,Price on NSE,148.96,
2008-09-19,Price,Price on NSE,139.41,
2008-09-26,Price,Price on NSE,147.25,
2008-10-03,Price,Price on NSE,148.99,
2008-10-10,Price,Price on NSE,129.70,
2008-10-17,Price,Price on NSE,130.84,
2008-10-24,Price,Price on NSE,127.89,
2008-10-31,Price,Price on NSE,111.83,
2008-11-07,Price,Price on NSE,119.32,
2008-11-14,Price,Price on NSE,118.99,
2008-11-21,Price,Price on NSE,108.26,
2008-11-28,Price,Price on NSE,108.22,
2008-12-05,Price,Price on NSE,100.88,
2008-12-12,Price,Price on NSE,110.52,
2008-12-19,Price,Price on NSE,108.88,
2008-12-26,Price,Price on NSE,105.68,
2009-01-02,Price,Price on NSE,104.88,
2009-01-09,Price,Price on NSE,109.95,
2009-01-16,Price,Price on NSE,111.99,
2009-01-23,Price,Price on NSE,107.17,
2009-01-30,Price,Price on NSE,107.45,
2009-02-06,Price,Price on NSE,105.65,
2009-02-13,Price,Price on NSE,106.69,
2009-02-20,Price,Price on NSE,102.24,
2009-02-27,Price,Price on NSE,101.75,
2009-03-06,Price,Price on NSE,102.09,
2009-03-13,Price,Price on NSE,101.78,
2009-03-20,Price,Price on NSE,103.64,
2009-03-27,Price,Price on NSE,108.05,
2009-04-02,Price,Price on NSE,106.68,
2009-04-09,Price,Price on NSE,112.76,
2009-04-17,Price,Price on NSE,120.65,
2009-04-24,Price,Price on NSE,119.63,
2009-04-29,Price,Price on NSE,127.84,
2009-05-08,Price,Price on NSE,129.13,
2009-05-15,Price,Price on NSE,130.25,
2009-05-22,Price,Price on NSE,129.06,
2009-05-29,Price,Price on NSE,121.38,
2009-06-05,Price,Price on NSE,134.61,
2009-06-12,Price,Price on NSE,132.16,
2009-06-19,Price,Price on NSE,131.24,
2009-06-26,Price,Price on NSE,114.12,
2009-07-03,Price,Price on NSE,115.17,
2009-07-10,Price,Price on NSE,111.51,
2009-07-17,Price,Price on NSE,124.41,
2009-07-24,Price,Price on NSE,124.66,
2009-07-31,Price,Price on NSE,117.48,
2009-08-07,Price,Price on NSE,120.15,
2009-08-14,Price,Price on NSE,122.33,
2009-08-21,Price,Price on NSE,118.81,
2009-08-28,Price,Price on NSE,120.02,
2009-09-04,Price,Price on NSE,120.96,
2009-09-11,Price,Price on NSE,120.77,
2009-09-18,Price,Price on NSE,119.66,
2009-09-25,Price,Price on NSE,130.83,
2009-10-01,Price,Price on NSE,140.44,
2009-10-09,Price,Price on NSE,136.54,
2009-10-17,Price,Price on NSE,136.04,
2009-10-23,Price,Price on NSE,135.06,
2009-10-30,Price,Price on NSE,137.87,
2009-11-06,Price,Price on NSE,140.29,
2009-11-13,Price,Price on NSE,145.36,
2009-11-20,Price,Price on NSE,143.68,
2009-11-27,Price,Price on NSE,145.98,
2009-12-04,Price,Price on NSE,148.27,
2009-12-11,Price,Price on NSE,144.23,
2009-12-18,Price,Price on NSE,150.48,
2009-12-24,Price,Price on NSE,156.70,
2009-12-31,Price,Price on NSE,150.88,
2010-01-08,Price,Price on NSE,157.50,
2010-01-15,Price,Price on NSE,152.51,
2010-01-22,Price,Price on NSE,143.20,
2010-01-29,Price,Price on NSE,147.31,
2010-02-06,Price,Price on NSE,148.33,
2010-02-11,Price,Price on NSE,152.04,
2010-02-19,Price,Price on NSE,154.99,
2010-02-26,Price,Price on NSE,153.97,
2010-03-05,Price,Price on NSE,161.27,
2010-03-12,Price,Price on NSE,165.56,
2010-03-19,Price,Price on NSE,169.81,
2010-03-26,Price,Price on NSE,176.97,
2010-04-01,Price,Price on NSE,180.41,
2010-04-09,Price,Price on NSE,176.95,
2010-04-16,Price,Price on NSE,180.87,
2010-04-23,Price,Price on NSE,168.42,
2010-04-30,Price,Price on NSE,157.12,
2010-05-07,Price,Price on NSE,153.21,
2010-05-14,Price,Price on NSE,159.20,
2010-05-21,Price,Price on NSE,154.60,
2010-05-28,Price,Price on NSE,163.17,
2010-06-04,Price,Price on NSE,170.48,
2010-06-11,Price,Price on NSE,168.25,
2010-06-18,Price,Price on NSE,171.34,
2010-06-25,Price,Price on NSE,179.07,
2010-07-02,Price,Price on NSE,175.58,
2010-07-09,Price,Price on NSE,174.25,
2010-07-16,Price,Price on NSE,174.03,
2010-07-23,Price,Price on NSE,174.05,
2010-07-30,Price,Price on NSE,176.86,
2010-08-06,Price,Price on NSE,177.49,
2010-08-13,Price,Price on NSE,175.09,
2010-08-20,Price,Price on NSE,179.24,
2010-08-27,Price,Price on NSE,177.33,
2010-09-03,Price,Price on NSE,172.51,
2010-09-09,Price,Price on NSE,174.56,
2010-09-17,Price,Price on NSE,187.41,
2010-09-24,Price,Price on NSE,192.12,
2010-10-01,Price,Price on NSE,203.04,
2010-10-08,Price,Price on NSE,206.44,
2010-10-15,Price,Price on NSE,203.96,
2010-10-22,Price,Price on NSE,213.98,
2010-10-29,Price,Price on NSE,211.01,
2010-11-05,Price,Price on NSE,227.67,
2010-11-12,Price,Price on NSE,232.16,
2010-11-19,Price,Price on NSE,221.49,
2010-11-26,Price,Price on NSE,223.13,
2010-12-03,Price,Price on NSE,222.45,
2010-12-10,Price,Price on NSE,224.50,
2010-12-16,Price,Price on NSE,225.00,
2010-12-24,Price,Price on NSE,236.65,
2010-12-31,Price,Price on NSE,242.48,
2011-01-07,Price,Price on NSE,246.68,
2011-01-14,Price,Price on NSE,237.40,
2011-01-21,Price,Price on NSE,242.68,
