date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,53.26,
2005-04-08,Price,Price on NSE,52.23,
2005-04-15,Price,Price on NSE,50.39,
2005-04-22,Price,Price on NSE,52.19,
2005-04-29,Price,Price on NSE,50.63,
2005-05-06,Price,Price on NSE,54.00,
2005-05-13,Price,Price on NSE,53.87,
2005-05-20,Price,Price on NSE,53.11,
2005-05-27,Price,Price on NSE,55.16,
2005-06-04,Price,Price on NSE,57.60,
2005-06-10,Price,Price on NSE,57.54,
2005-06-17,Price,Price on NSE,57.53,
2005-06-24,Price,Price on NSE,61.69,
2005-07-01,Price,Price on NSE,62.95,
2005-07-08,Price,Price on NSE,62.10,
2005-07-15,Price,Price on NSE,63.81,
2005-07-22,Price,Price on NSE,65.92,
2005-07-29,Price,Price on NSE,67.11,
2005-08-05,Price,Price on NSE,70.84,
2005-08-12,Price,Price on NSE,77.96,
2005-08-19,Price,Price on NSE,81.36,
2005-08-26,Price,Price on NSE,80.96,
2005-09-02,Price,Price on NSE,82.18,
2005-09-09,Price,Price on NSE,82.82,
2005-09-16,Price,Price on NSE,84.58,
2005-09-23,Price,Price on NSE,83.57,
2005-09-30,Price,Price on NSE,83.07,
2005-10-07,Price,Price on NSE,82.24,
2005-10-14,Price,Price on NSE,78.83,
2005-10-21,Price,Price on NSE,73.16,
2005-10-28,Price,Price on NSE,71.11,
2005-11-02,Price,Price on NSE,76.94,
2005-11-11,Price,Price on NSE,80.83,
2005-11-18,Price,Price on NSE,81.94,
2005-11-26,Price,Price on NSE,86.26,
2005-12-02,Price,Price on NSE,87.40,
2005-12-09,Price,Price on NSE,90.64,
2005-12-16,Price,Price on NSE,93.56,
2005-12-23,Price,Price on NSE,92.18,
2005-12-30,Price,Price on NSE,93.76,
2006-01-06,Price,Price on NSE,93.37,
2006-01-13,Price,Price on NSE,93.33,
2006-01-20,Price,Price on NSE,92.58,
2006-01-27,Price,Price on NSE,93.85,
2006-02-03,Price,Price on NSE,86.81,
2006-02-10,Price,Price on NSE,91.24,
2006-02-17,Price,Price on NSE,91.08,
2006-02-24,Price,Price on NSE,91.51,
2006-03-03,Price,Price on NSE,90.07,
2006-03-10,Price,Price on NSE,89.04,
2006-03-17,Price,Price on NSE,85.76,
2006-03-24,Price,Price on NSE,87.36,
2006-03-31,Price,Price on NSE,85.63,
2006-04-07,Price,Price on NSE,86.61,
2006-04-13,Price,Price on NSE,82.76,
2006-04-21,Price,Price on NSE,84.23,
2006-04-29,Price,Price on NSE,82.56,
2006-05-05,Price,Price on NSE,82.76,
2006-05-12,Price,Price on NSE,83.28,
2006-05-19,Price,Price on NSE,69.35,
2006-05-26,Price,Price on NSE,73.89,
2006-06-02,Price,Price on NSE,70.77,
2006-06-09,Price,Price on NSE,68.03,
2006-06-16,Price,Price on NSE,65.75,
2006-06-25,Price,Price on NSE,75.15,
2006-06-30,Price,Price on NSE,75.65,
2006-07-07,Price,Price on NSE,75.27,
2006-07-14,Price,Price on NSE,71.80,
2006-07-21,Price,Price on NSE,71.67,
2006-07-28,Price,Price on NSE,80.08,
2006-08-04,Price,Price on NSE,80.52,
2006-08-11,Price,Price on NSE,85.74,
2006-08-18,Price,Price on NSE,83.44,
2006-08-25,Price,Price on NSE,81.92,
2006-09-01,Price,Price on NSE,80.87,
2006-09-08,Price,Price on NSE,79.47,
2006-09-15,Price,Price on NSE,75.45,
2006-09-22,Price,Price on NSE,73.32,
2006-09-29,Price,Price on NSE,74.11,
2006-10-06,Price,Price on NSE,72.59,
2006-10-13,Price,Price on NSE,74.04,
2006-10-21,Price,Price on NSE,74.59,
2006-10-27,Price,Price on NSE,74.25,
2006-11-03,Price,Price on NSE,73.74,
2006-11-10,Price,Price on NSE,72.75,
2006-11-17,Price,Price on NSE,70.04,
2006-11-24,Price,Price on NSE,72.76,
2006-12-01,Price,Price on NSE,71.75,
2006-12-08,Price,Price on NSE,74.06,
2006-12-15,Price,Price on NSE,70.79,
2006-12-22,Price,Price on NSE,70.49,
2006-12-29,Price,Price on NSE,71.24,
2007-01-05,Price,Price on NSE,71.40,
2007-01-12,Price,Price on NSE,71.80,
2007-01-19,Price,Price on NSE,71.59,
2007-01-25,Price,Price on NSE,70.80,
2007-02-02,Price,Price on NSE,71.34,
2007-02-09,Price,Price on NSE,67.46,
2007-02-15,Price,Price on NSE,66.78,
2007-02-23,Price,Price on NSE,64.20,
2007-03-02,Price,Price on NSE,58.98,
2007-03-09,Price,Price on NSE,58.25,
2007-03-16,Price,Price on NSE,59.85,
2007-03-23,Price,Price on NSE,61.83,
2007-03-30,Price,Price on NSE,59.99,
2007-04-05,Price,Price on NSE,60.72,
2007-04-13,Price,Price on NSE,63.27,
2007-04-20,Price,Price on NSE,66.79,
2007-04-27,Price,Price on NSE,76.09,
2007-05-04,Price,Price on NSE,75.04,
2007-05-11,Price,Price on NSE,77.02,
2007-05-18,Price,Price on NSE,83.16,
2007-05-25,Price,Price on NSE,90.39,
2007-06-01,Price,Price on NSE,94.08,
2007-06-08,Price,Price on NSE,82.02,
2007-06-15,Price,Price on NSE,80.59,
2007-06-22,Price,Price on NSE,82.09,
2007-06-29,Price,Price on NSE,84.66,
2007-07-06,Price,Price on NSE,83.37,
2007-07-13,Price,Price on NSE,85.39,
2007-07-20,Price,Price on NSE,76.48,
2007-07-27,Price,Price on NSE,74.98,
2007-08-03,Price,Price on NSE,71.98,
2007-08-10,Price,Price on NSE,68.68,
2007-08-17,Price,Price on NSE,65.67,
2007-08-24,Price,Price on NSE,71.25,
2007-08-31,Price,Price on NSE,74.39,
2007-09-07,Price,Price on NSE,75.17,
2007-09-14,Price,Price on NSE,75.95,
2007-09-21,Price,Price on NSE,77.89,
2007-09-28,Price,Price on NSE,79.60,
2007-10-05,Price,Price on NSE,83.27,
2007-10-12,Price,Price on NSE,81.67,
2007-10-19,Price,Price on NSE,79.02,
2007-10-26,Price,Price on NSE,79.74,
2007-11-02,Price,Price on NSE,78.81,
2007-11-09,Price,Price on NSE,78.02,
2007-11-16,Price,Price on NSE,78.61,
2007-11-23,Price,Price on NSE,76.44,
2007-11-30,Price,Price on NSE,75.02,
2007-12-07,Price,Price on NSE,81.31,
2007-12-14,Price,Price on NSE,92.51,
2007-12-20,Price,Price on NSE,88.39,
2007-12-28,Price,Price on NSE,88.95,
2008-01-04,Price,Price on NSE,98.45,
2008-01-11,Price,Price on NSE,85.75,
2008-01-18,Price,Price on NSE,76.90,
2008-01-25,Price,Price on NSE,78.40,
2008-02-01,Price,Price on NSE,81.43,
2008-02-08,Price,Price on NSE,77.48,
2008-02-15,Price,Price on NSE,77.95,
2008-02-22,Price,Price on NSE,77.37,
2008-02-29,Price,Price on NSE,81.15,
2008-03-07,Price,Price on NSE,80.21,
2008-03-14,Price,Price on NSE,80.13,
2008-03-19,Price,Price on NSE,77.80,
2008-03-28,Price,Price on NSE,82.38,
2008-04-04,Price,Price on NSE,82.36,
2008-04-11,Price,Price on NSE,87.71,
2008-04-17,Price,Price on NSE,88.77,
2008-04-25,Price,Price on NSE,85.02,
2008-05-02,Price,Price on NSE,91.97,
2008-05-09,Price,Price on NSE,89.47,
2008-05-16,Price,Price on NSE,93.62,
2008-05-23,Price,Price on NSE,88.40,
2008-05-30,Price,Price on NSE,85.19,
2008-06-06,Price,Price on NSE,79.11,
2008-06-13,Price,Price on NSE,76.59,
2008-06-20,Price,Price on NSE,73.95,
2008-06-27,Price,Price on NSE,74.37,
2008-07-04,Price,Price on NSE,70.71,
2008-07-11,Price,Price on NSE,70.46,
2008-07-18,Price,Price on NSE,72.44,
2008-07-25,Price,Price on NSE,76.78,
2008-08-01,Price,Price on NSE,71.55,
2008-08-08,Price,Price on NSE,71.31,
2008-08-14,Price,Price on NSE,73.59,
2008-08-22,Price,Price on NSE,71.40,
2008-08-29,Price,Price on NSE,70.02,
2008-09-05,Price,Price on NSE,71.02,
2008-09-12,Price,Price on NSE,69.15,
2008-09-19,Price,Price on NSE,70.62,
2008-09-26,Price,Price on NSE,66.77,
2008-10-03,Price,Price on NSE,67.87,
2008-10-10,Price,Price on NSE,56.68,
2008-10-17,Price,Price on NSE,57.17,
2008-10-24,Price,Price on NSE,52.70,
2008-10-31,Price,Price on NSE,50.15,
2008-11-07,Price,Price on NSE,50.86,
2008-11-14,Price,Price on NSE,51.18,
2008-11-21,Price,Price on NSE,45.42,
2008-11-28,Price,Price on NSE,52.27,
2008-12-05,Price,Price on NSE,53.66,
2008-12-12,Price,Price on NSE,54.32,
2008-12-19,Price,Price on NSE,58.16,
2008-12-26,Price,Price on NSE,57.02,
2009-01-02,Price,Price on NSE,62.37,
2009-01-09,Price,Price on NSE,60.62,
2009-01-16,Price,Price on NSE,62.25,
2009-01-23,Price,Price on NSE,61.45,
2009-01-30,Price,Price on NSE,59.85,
2009-02-06,Price,Price on NSE,54.39,
2009-02-13,Price,Price on NSE,54.11,
2009-02-20,Price,Price on NSE,53.84,
2009-02-27,Price,Price on NSE,57.27,
2009-03-06,Price,Price on NSE,54.12,
2009-03-13,Price,Price on NSE,53.96,
2009-03-20,Price,Price on NSE,52.90,
2009-03-27,Price,Price on NSE,55.87,
2009-04-02,Price,Price on NSE,58.33,
2009-04-09,Price,Price on NSE,58.98,
2009-04-17,Price,Price on NSE,67.11,
2009-04-24,Price,Price on NSE,68.61,
2009-04-29,Price,Price on NSE,67.02,
2009-05-08,Price,Price on NSE,71.38,
2009-05-15,Price,Price on NSE,67.44,
2009-05-22,Price,Price on NSE,68.03,
2009-05-29,Price,Price on NSE,68.46,
2009-06-05,Price,Price on NSE,78.42,
2009-06-12,Price,Price on NSE,75.20,
2009-06-19,Price,Price on NSE,71.67,
2009-06-26,Price,Price on NSE,71.97,
2009-07-03,Price,Price on NSE,73.03,
2009-07-10,Price,Price on NSE,71.91,
2009-07-17,Price,Price on NSE,74.34,
2009-07-24,Price,Price on NSE,77.53,
2009-07-31,Price,Price on NSE,84.05,
2009-08-07,Price,Price on NSE,83.89,
2009-08-14,Price,Price on NSE,92.49,
2009-08-21,Price,Price on NSE,92.68,
2009-08-28,Price,Price on NSE,93.58,
2009-09-04,Price,Price on NSE,92.93,
2009-09-11,Price,Price on NSE,90.76,
2009-09-18,Price,Price on NSE,90.40,
2009-09-25,Price,Price on NSE,90.02,
2009-10-01,Price,Price on NSE,88.29,
2009-10-09,Price,Price on NSE,86.76,
2009-10-17,Price,Price on NSE,87.32,
2009-10-23,Price,Price on NSE,85.69,
2009-10-30,Price,Price on NSE,84.61,
2009-11-06,Price,Price on NSE,88.34,
2009-11-13,Price,Price on NSE,89.66,
2009-11-20,Price,Price on NSE,85.88,
2009-11-27,Price,Price on NSE,87.79,
2009-12-04,Price,Price on NSE,90.97,
2009-12-11,Price,Price on NSE,93.34,
2009-12-18,Price,Price on NSE,91.32,
2009-12-24,Price,Price on NSE,93.83,
2009-12-31,Price,Price on NSE,92.95,
2010-01-08,Price,Price on NSE,103.48,
2010-01-15,Price,Price on NSE,102.58,
2010-01-22,Price,Price on NSE,96.39,
2010-01-29,Price,Price on NSE,90.39,
2010-02-06,Price,Price on NSE,92.81,
2010-02-11,Price,Price on NSE,94.28,
2010-02-19,Price,Price on NSE,91.55,
2010-02-26,Price,Price on NSE,92.60,
2010-03-05,Price,Price on NSE,95.77,
2010-03-12,Price,Price on NSE,94.83,
2010-03-19,Price,Price on NSE,93.81,
2010-03-26,Price,Price on NSE,92.40,
2010-04-01,Price,Price on NSE,95.85,
2010-04-09,Price,Price on NSE,98.90,
2010-04-16,Price,Price on NSE,97.19,
2010-04-23,Price,Price on NSE,102.52,
2010-04-30,Price,Price on NSE,104.01,
2010-05-07,Price,Price on NSE,101.29,
2010-05-14,Price,Price on NSE,105.74,
2010-05-21,Price,Price on NSE,108.47,
2010-05-28,Price,Price on NSE,104.65,
2010-06-04,Price,Price on NSE,107.51,
2010-06-11,Price,Price on NSE,109.01,
2010-06-18,Price,Price on NSE,111.80,
2010-06-25,Price,Price on NSE,116.42,
2010-07-02,Price,Price on NSE,119.32,
2010-07-09,Price,Price on NSE,119.71,
2010-07-16,Price,Price on NSE,119.02,
2010-07-23,Price,Price on NSE,119.17,
2010-07-30,Price,Price on NSE,114.63,
2010-08-06,Price,Price on NSE,110.72,
2010-08-13,Price,Price on NSE,112.75,
2010-08-20,Price,Price on NSE,110.13,
2010-08-27,Price,Price on NSE,116.30,
2010-09-03,Price,Price on NSE,120.65,
2010-09-09,Price,Price on NSE,126.23,
2010-09-17,Price,Price on NSE,121.14,
2010-09-24,Price,Price on NSE,123.56,
2010-10-01,Price,Price on NSE,121.98,
2010-10-08,Price,Price on NSE,130.97,
2010-10-15,Price,Price on NSE,128.26,
2010-10-22,Price,Price on NSE,126.97,
2010-10-29,Price,Price on NSE,123.12,
2010-11-05,Price,Price on NSE,124.06,
2010-11-12,Price,Price on NSE,123.32,
2010-11-19,Price,Price on NSE,118.63,
2010-11-26,Price,Price on NSE,111.07,
2010-12-03,Price,Price on NSE,112.70,
2010-12-10,Price,Price on NSE,109.59,
2010-12-16,Price,Price on NSE,113.74,
2010-12-24,Price,Price on NSE,111.12,
2010-12-31,Price,Price on NSE,106.77,
2011-01-07,Price,Price on NSE,106.97,
2011-01-14,Price,Price on NSE,103.12,
2011-01-21,Price,Price on NSE,104.35,
2011-01-28,Price,Price on NSE,98.57,
2011-02-04,Price,Price on NSE,94.13,
2011-02-11,Price,Price on NSE,90.57,
2011-02-18,Price,Price on NSE,93.34,
2011-02-25,Price,Price on NSE,87.51,
2011-03-04,Price,Price on NSE,89.64,
2011-03-11,Price,Price on NSE,100.06,
2011-03-18,Price,Price on NSE,96.40,
2011-03-25,Price,Price on NSE,96.95,
2011-04-01,Price,Price on NSE,99.41,
2011-04-08,Price,Price on NSE,103.37,
2011-04-15,Price,Price on NSE,101.98,
2011-04-21,Price,Price on NSE,101.79,
2011-04-29,Price,Price on NSE,99.51,
2011-05-06,Price,Price on NSE,96.35,
2011-05-13,Price,Price on NSE,97.93,
2011-05-20,Price,Price on NSE,96.11,
2011-05-27,Price,Price on NSE,87.12,
2011-06-03,Price,Price on NSE,92.45,
2011-06-10,Price,Price on NSE,94.67,
2011-06-17,Price,Price on NSE,97.39,
2011-06-24,Price,Price on NSE,90.67,
2011-07-01,Price,Price on NSE,96.55,
2011-07-08,Price,Price on NSE,98.77,
2011-07-15,Price,Price on NSE,99.61,
2011-07-22,Price,Price on NSE,101.54,
2011-07-29,Price,Price on NSE,105.24,
2011-08-05,Price,Price on NSE,105.04,
2011-08-12,Price,Price on NSE,101.04,
2011-08-19,Price,Price on NSE,86.52,
2011-08-26,Price,Price on NSE,88.25,
2011-09-02,Price,Price on NSE,91.56,
2011-09-09,Price,Price on NSE,92.15,
2011-09-16,Price,Price on NSE,89.44,
2011-09-23,Price,Price on NSE,85.98,
2011-09-30,Price,Price on NSE,84.75,
2011-10-07,Price,Price on NSE,81.54,
2011-10-14,Price,Price on NSE,86.82,
2011-10-21,Price,Price on NSE,83.66,
2011-10-28,Price,Price on NSE,88.65,
2011-11-04,Price,Price on NSE,89.83,
2011-11-11,Price,Price on NSE,87.22,
2011-11-18,Price,Price on NSE,81.59,
2011-11-25,Price,Price on NSE,80.55,
2011-12-02,Price,Price on NSE,90.62,
2011-12-09,Price,Price on NSE,88.60,
2011-12-16,Price,Price on NSE,85.34,
2011-12-23,Price,Price on NSE,87.61,
2011-12-30,Price,Price on NSE,88.99,
2012-01-07,Price,Price on NSE,92.20,
2012-01-13,Price,Price on NSE,92.99,
2012-01-20,Price,Price on NSE,91.51,
2012-01-27,Price,Price on NSE,95.91,
2012-02-03,Price,Price on NSE,118.28,
2012-02-10,Price,Price on NSE,117.49,
2012-02-17,Price,Price on NSE,117.74,
2012-02-24,Price,Price on NSE,118.48,
2012-03-03,Price,Price on NSE,118.92,
2012-03-09,Price,Price on NSE,116.75,
2012-03-16,Price,Price on NSE,111.56,
2012-03-23,Price,Price on NSE,111.32,
2012-03-30,Price,Price on NSE,110.97,
2012-04-04,Price,Price on NSE,116.26,
2012-04-13,Price,Price on NSE,115.37,
2012-04-20,Price,Price on NSE,120.21,
2012-04-28,Price,Price on NSE,114.97,
2012-05-04,Price,Price on NSE,113.00,
2012-05-11,Price,Price on NSE,107.12,
2012-05-18,Price,Price on NSE,104.25,
2012-05-25,Price,Price on NSE,106.62,
2012-06-01,Price,Price on NSE,104.35,
2012-06-08,Price,Price on NSE,110.67,
2012-06-15,Price,Price on NSE,106.33,
2012-06-22,Price,Price on NSE,106.87,
2012-06-29,Price,Price on NSE,114.53,
2012-07-06,Price,Price on NSE,116.35,
2012-07-13,Price,Price on NSE,112.80,
2012-07-20,Price,Price on NSE,117.29,
2012-07-27,Price,Price on NSE,119.17,
2012-08-03,Price,Price on NSE,129.54,
2012-08-10,Price,Price on NSE,131.22,
2012-08-17,Price,Price on NSE,133.05,
2012-08-24,Price,Price on NSE,127.27,
2012-08-31,Price,Price on NSE,128.21,
2012-09-08,Price,Price on NSE,134.97,
2012-09-14,Price,Price on NSE,132.01,
2012-09-21,Price,Price on NSE,129.44,
2012-09-28,Price,Price on NSE,141.10,
2012-10-05,Price,Price on NSE,148.36,
2012-10-12,Price,Price on NSE,159.27,
2012-10-19,Price,Price on NSE,156.01,
2012-10-26,Price,Price on NSE,149.54,
2012-11-02,Price,Price on NSE,156.36,
2012-11-09,Price,Price on NSE,166.83,
2012-11-16,Price,Price on NSE,171.27,
2012-11-23,Price,Price on NSE,161.39,
2012-11-30,Price,Price on NSE,163.91,
2012-12-07,Price,Price on NSE,167.77,
2012-12-14,Price,Price on NSE,166.68,
2012-12-21,Price,Price on NSE,158.88,
2012-12-28,Price,Price on NSE,158.48,
2013-01-04,Price,Price on NSE,162.14,
