date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,181.37,
2005-04-08,Price,Price on NSE,174.20,
2005-04-15,Price,Price on NSE,164.88,
2005-04-22,Price,Price on NSE,145.85,
2005-04-29,Price,Price on NSE,141.39,
2005-05-06,Price,Price on NSE,145.94,
2005-05-13,Price,Price on NSE,143.58,
2005-05-20,Price,Price on NSE,146.21,
2005-05-27,Price,Price on NSE,158.65,
2005-06-04,Price,Price on NSE,160.20,
2005-06-10,Price,Price on NSE,158.27,
2005-06-17,Price,Price on NSE,158.46,
2005-06-24,Price,Price on NSE,165.72,
2005-07-01,Price,Price on NSE,169.05,
2005-07-08,Price,Price on NSE,163.89,
2005-07-15,Price,Price on NSE,156.06,
2005-07-22,Price,Price on NSE,161.75,
2005-07-29,Price,Price on NSE,158.60,
2005-08-05,Price,Price on NSE,160.68,
2005-08-12,Price,Price on NSE,160.36,
2005-08-19,Price,Price on NSE,165.67,
2005-08-26,Price,Price on NSE,170.60,
2005-09-02,Price,Price on NSE,178.40,
2005-09-09,Price,Price on NSE,174.00,
2005-09-16,Price,Price on NSE,182.20,
2005-09-23,Price,Price on NSE,176.56,
2005-09-30,Price,Price on NSE,185.30,
2005-10-07,Price,Price on NSE,180.60,
2005-10-14,Price,Price on NSE,178.01,
2005-10-21,Price,Price on NSE,178.54,
2005-10-28,Price,Price on NSE,170.27,
2005-11-02,Price,Price on NSE,178.63,
2005-11-11,Price,Price on NSE,185.34,
2005-11-18,Price,Price on NSE,190.87,
2005-11-26,Price,Price on NSE,192.36,
2005-12-02,Price,Price on NSE,193.75,
2005-12-09,Price,Price on NSE,210.34,
2005-12-16,Price,Price on NSE,214.30,
2005-12-23,Price,Price on NSE,208.97,
2005-12-30,Price,Price on NSE,212.86,
2006-01-06,Price,Price on NSE,213.20,
2006-01-13,Price,Price on NSE,206.47,
2006-01-20,Price,Price on NSE,205.50,
2006-01-27,Price,Price on NSE,207.40,
2006-02-03,Price,Price on NSE,203.85,
2006-02-10,Price,Price on NSE,208.70,
2006-02-17,Price,Price on NSE,203.13,
2006-02-24,Price,Price on NSE,208.76,
2006-03-03,Price,Price on NSE,213.22,
2006-03-10,Price,Price on NSE,220.46,
2006-03-17,Price,Price on NSE,232.63,
2006-03-24,Price,Price on NSE,236.44,
2006-03-31,Price,Price on NSE,239.44,
2006-04-07,Price,Price on NSE,236.16,
2006-04-13,Price,Price on NSE,224.65,
2006-04-21,Price,Price on NSE,249.89,
2006-04-29,Price,Price on NSE,247.42,
2006-05-05,Price,Price on NSE,250.84,
2006-05-12,Price,Price on NSE,249.52,
2006-05-19,Price,Price on NSE,236.55,
2006-05-26,Price,Price on NSE,233.30,
2006-06-02,Price,Price on NSE,224.25,
2006-06-09,Price,Price on NSE,208.90,
2006-06-16,Price,Price on NSE,210.63,
2006-06-25,Price,Price on NSE,212.55,
2006-06-30,Price,Price on NSE,217.35,
2006-07-07,Price,Price on NSE,218.34,
2006-07-14,Price,Price on NSE,234.29,
2006-07-21,Price,Price on NSE,220.95,
2006-07-28,Price,Price on NSE,232.12,
2006-08-04,Price,Price on NSE,237.14,
2006-08-11,Price,Price on NSE,241.90,
2006-08-18,Price,Price on NSE,242.43,
2006-08-25,Price,Price on NSE,243.60,
2006-09-01,Price,Price on NSE,249.82,
2006-09-08,Price,Price on NSE,247.75,
2006-09-15,Price,Price on NSE,250.68,
2006-09-22,Price,Price on NSE,259.89,
2006-09-29,Price,Price on NSE,255.52,
2006-10-06,Price,Price on NSE,248.55,
2006-10-13,Price,Price on NSE,275.90,
2006-10-21,Price,Price on NSE,272.64,
2006-10-27,Price,Price on NSE,268.67,
2006-11-03,Price,Price on NSE,266.74,
2006-11-10,Price,Price on NSE,267.18,
2006-11-17,Price,Price on NSE,273.79,
2006-11-24,Price,Price on NSE,287.50,
2006-12-01,Price,Price on NSE,297.34,
2006-12-08,Price,Price on NSE,294.23,
2006-12-15,Price,Price on NSE,290.05,
2006-12-22,Price,Price on NSE,288.49,
2006-12-29,Price,Price on NSE,305.50,
2007-01-05,Price,Price on NSE,315.75,
2007-01-12,Price,Price on NSE,330.99,
2007-01-19,Price,Price on NSE,324.54,
2007-01-25,Price,Price on NSE,328.87,
2007-02-02,Price,Price on NSE,325.13,
2007-02-09,Price,Price on NSE,321.85,
2007-02-15,Price,Price on NSE,323.07,
2007-02-23,Price,Price on NSE,319.34,
2007-03-02,Price,Price on NSE,302.14,
2007-03-09,Price,Price on NSE,303.04,
2007-03-16,Price,Price on NSE,309.42,
2007-03-23,Price,Price on NSE,322.05,
2007-03-30,Price,Price on NSE,308.47,
2007-04-05,Price,Price on NSE,298.55,
2007-04-13,Price,Price on NSE,315.50,
2007-04-20,Price,Price on NSE,314.42,
2007-04-27,Price,Price on NSE,308.63,
2007-05-04,Price,Price on NSE,318.27,
2007-05-11,Price,Price on NSE,313.14,
2007-05-18,Price,Price on NSE,313.22,
2007-05-25,Price,Price on NSE,307.49,
2007-06-01,Price,Price on NSE,304.68,
2007-06-08,Price,Price on NSE,305.03,
2007-06-15,Price,Price on NSE,296.10,
2007-06-22,Price,Price on NSE,284.99,
2007-06-29,Price,Price on NSE,287.34,
2007-07-06,Price,Price on NSE,289.67,
