date,metric,label,value,delivery
2005-04-01,Price,Price on NSE,37.95,
2005-04-08,Price,Price on NSE,37.53,
2005-04-15,Price,Price on NSE,34.16,
2005-04-22,Price,Price on NSE,36.33,
2005-04-29,Price,Price on NSE,35.59,
2005-05-06,Price,Price on NSE,35.89,
2005-05-13,Price,Price on NSE,35.89,
2005-05-20,Price,Price on NSE,37.42,
2005-05-27,Price,Price on NSE,40.85,
2005-06-04,Price,Price on NSE,40.76,
2005-06-10,Price,Price on NSE,40.83,
2005-06-17,Price,Price on NSE,41.96,
2005-06-24,Price,Price on NSE,42.30,
2005-07-01,Price,Price on NSE,42.01,
2005-07-08,Price,Price on NSE,40.78,
2005-07-15,Price,Price on NSE,39.74,
2005-07-22,Price,Price on NSE,40.35,
2005-07-29,Price,Price on NSE,41.54,
2005-08-05,Price,Price on NSE,40.72,
2005-08-12,Price,Price on NSE,40.32,
2005-08-19,Price,Price on NSE,40.62,
2005-08-26,Price,Price on NSE,40.57,
2005-09-02,Price,Price on NSE,42.23,
2005-09-09,Price,Price on NSE,41.90,
2005-09-16,Price,Price on NSE,43.16,
2005-09-23,Price,Price on NSE,40.37,
2005-09-30,Price,Price on NSE,41.90,
2005-10-07,Price,Price on NSE,43.80,
2005-10-14,Price,Price on NSE,43.54,
2005-10-21,Price,Price on NSE,43.49,
2005-10-28,Price,Price on NSE,40.27,
2005-11-02,Price,Price on NSE,41.70,
2005-11-11,Price,Price on NSE,45.59,
2005-11-18,Price,Price on NSE,47.83,
2005-11-26,Price,Price on NSE,49.37,
2005-12-02,Price,Price on NSE,48.71,
2005-12-09,Price,Price on NSE,49.81,
2005-12-16,Price,Price on NSE,49.84,
2005-12-23,Price,Price on NSE,52.51,
2005-12-30,Price,Price on NSE,52.27,
2006-01-06,Price,Price on NSE,53.33,
2006-01-13,Price,Price on NSE,51.90,
2006-01-20,Price,Price on NSE,56.27,
2006-01-27,Price,Price on NSE,56.99,
2006-02-03,Price,Price on NSE,58.21,
2006-02-10,Price,Price on NSE,57.80,
2006-02-17,Price,Price on NSE,56.30,
2006-02-24,Price,Price on NSE,58.27,
2006-03-03,Price,Price on NSE,59.76,
2006-03-10,Price,Price on NSE,58.71,
2006-03-17,Price,Price on NSE,58.71,
2006-03-24,Price,Price on NSE,59.95,
2006-03-31,Price,Price on NSE,63.14,
2006-04-07,Price,Price on NSE,61.01,
2006-04-13,Price,Price on NSE,58.14,
2006-04-21,Price,Price on NSE,61.93,
2006-04-29,Price,Price on NSE,60.76,
2006-05-05,Price,Price on NSE,60.86,
2006-05-12,Price,Price on NSE,61.44,
2006-05-19,Price,Price on NSE,55.03,
2006-05-26,Price,Price on NSE,53.59,
2006-06-02,Price,Price on NSE,53.02,
2006-06-09,Price,Price on NSE,49.07,
2006-06-16,Price,Price on NSE,49.70,
2006-06-25,Price,Price on NSE,53.63,
2006-06-30,Price,Price on NSE,57.92,
2006-07-07,Price,Price on NSE,52.90,
2006-07-14,Price,Price on NSE,55.18,
2006-07-21,Price,Price on NSE,50.66,
2006-07-28,Price,Price on NSE,54.50,
2006-08-04,Price,Price on NSE,57.30,
2006-08-11,Price,Price on NSE,56.96,
2006-08-18,Price,Price on NSE,57.79,
2006-08-25,Price,Price on NSE,57.62,
2006-09-01,Price,Price on NSE,58.47,
2006-09-08,Price,Price on NSE,57.45,
2006-09-15,Price,Price on NSE,57.41,
2006-09-22,Price,Price on NSE,58.58,
2006-09-29,Price,Price on NSE,59.22,
2006-10-06,Price,Price on NSE,58.02,
2006-10-13,Price,Price on NSE,62.90,
2006-10-21,Price,Price on NSE,62.45,
2006-10-27,Price,Price on NSE,63.54,
2006-11-03,Price,Price on NSE,59.72,
2006-11-10,Price,Price on NSE,60.55,
2006-11-17,Price,Price on NSE,62.08,
2006-11-24,Price,Price on NSE,66.58,
2006-12-01,Price,Price on NSE,67.81,
2006-12-08,Price,Price on NSE,65.09,
2006-12-15,Price,Price on NSE,63.93,
2006-12-22,Price,Price on NSE,64.81,
2006-12-29,Price,Price on NSE,68.36,
2007-01-05,Price,Price on NSE,67.47,
2007-01-12,Price,Price on NSE,70.67,
2007-01-19,Price,Price on NSE,70.03,
2007-01-25,Price,Price on NSE,73.48,
2007-02-02,Price,Price on NSE,72.55,
2007-02-09,Price,Price on NSE,72.55,
2007-02-15,Price,Price on NSE,76.38,
2007-02-23,Price,Price on NSE,70.32,
2007-03-02,Price,Price on NSE,64.78,
2007-03-09,Price,Price on NSE,63.82,
2007-03-16,Price,Price on NSE,63.77,
2007-03-23,Price,Price on NSE,67.39,
2007-03-30,Price,Price on NSE,63.11,
2007-04-05,Price,Price on NSE,62.35,
2007-04-13,Price,Price on NSE,64.04,
2007-04-20,Price,Price on NSE,64.45,
2007-04-27,Price,Price on NSE,63.83,
2007-05-04,Price,Price on NSE,64.00,
2007-05-11,Price,Price on NSE,61.58,
2007-05-18,Price,Price on NSE,61.29,
2007-05-25,Price,Price on NSE,61.30,
2007-06-01,Price,Price on NSE,61.40,
2007-06-08,Price,Price on NSE,61.78,
2007-06-15,Price,Price on NSE,59.85,
2007-06-22,Price,Price on NSE,58.36,
2007-06-29,Price,Price on NSE,58.49,
2007-07-06,Price,Price on NSE,58.62,
2007-07-13,Price,Price on NSE,57.83,
2007-07-20,Price,Price on NSE,56.99,
2007-07-27,Price,Price on NSE,55.58,
2007-08-03,Price,Price on NSE,53.05,
2007-08-10,Price,Price on NSE,54.18,
2007-08-17,Price,Price on NSE,53.52,
2007-08-24,Price,Price on NSE,51.61,
2007-08-31,Price,Price on NSE,54.42,
2007-09-07,Price,Price on NSE,53.96,
2007-09-14,Price,Price on NSE,50.80,
2007-09-21,Price,Price on NSE,49.49,
2007-09-28,Price,Price on NSE,51.92,
2007-10-05,Price,Price on NSE,51.91,
2007-10-12,Price,Price on NSE,54.92,
2007-10-19,Price,Price on NSE,56.41,
2007-10-26,Price,Price on NSE,56.39,
2007-11-02,Price,Price on NSE,55.49,
2007-11-09,Price,Price on NSE,51.84,
2007-11-16,Price,Price on NSE,51.99,
2007-11-23,Price,Price on NSE,49.81,
2007-11-30,Price,Price on NSE,51.97,
2007-12-07,Price,Price on NSE,56.77,
2007-12-14,Price,Price on NSE,56.09,
2007-12-20,Price,Price on NSE,55.66,
2007-12-28,Price,Price on NSE,59.56,
2008-01-04,Price,Price on NSE,56.03,
2008-01-11,Price,Price on NSE,55.15,
2008-01-18,Price,Price on NSE,51.26,
2008-01-25,Price,Price on NSE,48.74,
2008-02-01,Price,Price on NSE,49.64,
2008-02-08,Price,Price on NSE,47.62,
2008-02-15,Price,Price on NSE,47.45,
2008-02-22,Price,Price on NSE,48.15,
2008-02-29,Price,Price on NSE,49.31,
2008-03-07,Price,Price on NSE,47.02,
2008-03-14,Price,Price on NSE,41.66,
2008-03-19,Price,Price on NSE,42.69,
2008-03-28,Price,Price on NSE,51.16,
2008-04-04,Price,Price on NSE,46.81,
2008-04-11,Price,Price on NSE,45.74,
2008-04-17,Price,Price on NSE,51.81,
2008-04-25,Price,Price on NSE,52.61,
2008-05-02,Price,Price on NSE,56.66,
2008-05-09,Price,Price on NSE,56.51,
2008-05-16,Price,Price on NSE,57.06,
2008-05-23,Price,Price on NSE,54.28,
2008-05-30,Price,Price on NSE,57.46,
2008-06-06,Price,Price on NSE,57.04,
2008-06-13,Price,Price on NSE,53.93,
2008-06-20,Price,Price on NSE,53.45,
2008-06-27,Price,Price on NSE,49.72,
2008-07-04,Price,Price on NSE,48.25,
