date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,2151.0,1982.0,169.0,0.08,18.0,25.0,33.0,128.0,0.21,101.0,2.66,/company/source/quarter/84/9/2022/
2022-12-01,2087.0,1871.0,216.0,0.1,19.0,27.0,34.0,174.0,0.18,143.0,3.57,/company/source/quarter/84/12/2022/
2023-03-01,2154.0,1952.0,203.0,0.09,64.0,25.0,29.0,212.0,0.25,159.0,4.01,/company/source/quarter/84/3/2023/
2023-06-01,2101.0,1905.0,196.0,0.09,37.0,30.0,33.0,170.0,0.22,133.0,3.3,/company/source/quarter/84/6/2023/
2023-09-01,1235.0,1027.0,208.0,0.17,44.0,27.0,34.0,192.0,0.22,150.0,3.62,/company/source/quarter/84/9/2023/
2023-12-01,1873.0,1662.0,212.0,0.11,45.0,30.0,34.0,192.0,0.21,152.0,3.71,/company/source/quarter/84/12/2023/
2024-03-01,1837.0,1530.0,307.0,0.17,63.0,29.0,33.0,307.0,0.23,237.0,5.59,/company/source/quarter/84/3/2024/
2024-06-01,1601.0,1369.0,232.0,0.15,44.0,31.0,37.0,208.0,0.24,158.0,3.75,/company/source/quarter/84/6/2024/
2024-09-01,1750.0,1526.0,224.0,0.13,39.0,30.0,37.0,196.0,0.22,152.0,3.59,/company/source/quarter/84/9/2024/
2024-12-01,1707.0,1474.0,233.0,0.14,60.0,51.0,37.0,204.0,0.22,160.0,3.54,/company/source/quarter/84/12/2024/
2025-03-01,1705.0,1296.0,409.0,0.24,65.0,52.0,41.0,381.0,0.17,318.0,8.02,/company/source/quarter/84/3/2025/
2025-06-01,1719.0,1479.0,240.0,0.14,63.0,33.0,42.0,228.0,0.23,175.0,3.74,/company/source/quarter/84/6/2025/
2025-09-01,2294.0,2003.0,291.0,0.13,96.0,24.0,52.0,310.0,0.21,244.0,5.12,/company/source/quarter/84/9/2025/
