date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,4264.0,3780.0,484.0,0.11,35.0,100.0,153.0,266.0,0.39,162.0,10.68,/company/source/quarter/218/12/2022/
2023-03-01,4302.0,3814.0,488.0,0.11,20.0,95.0,159.0,254.0,0.43,146.0,10.05,/company/source/quarter/218/3/2023/
2023-06-01,4418.0,3909.0,509.0,0.12,34.0,106.0,167.0,270.0,0.36,173.0,11.59,/company/source/quarter/218/6/2023/
2023-09-01,4847.0,4219.0,628.0,0.13,26.0,111.0,163.0,379.0,0.34,249.0,16.2,/company/source/quarter/218/9/2023/
2023-12-01,4851.0,4237.0,614.0,0.13,29.0,113.0,167.0,363.0,0.3,254.0,17.06,/company/source/quarter/218/12/2023/
2024-03-01,4944.0,4303.0,640.0,0.13,37.0,119.0,190.0,368.0,0.3,258.0,17.65,/company/source/quarter/218/3/2024/
2024-06-01,5086.0,4410.0,675.0,0.13,49.0,116.0,177.0,430.0,0.27,316.0,21.23,/company/source/quarter/218/6/2024/
2024-09-01,5589.0,4774.0,816.0,0.15,44.0,118.0,184.0,557.0,0.29,396.0,26.34,/company/source/quarter/218/9/2024/
2024-12-01,5527.0,4765.0,762.0,0.14,69.0,110.0,185.0,536.0,0.29,379.0,25.89,/company/source/quarter/218/12/2024/
2025-03-01,5592.0,4822.0,770.0,0.14,72.0,115.0,211.0,516.0,0.2,414.0,27.1,/company/source/quarter/218/3/2025/
2025-06-01,5842.0,4990.0,852.0,0.15,54.0,108.0,215.0,583.0,0.24,441.0,30.1,/company/source/quarter/218/6/2025/
2025-09-01,6304.0,5362.0,941.0,0.15,61.0,110.0,218.0,675.0,0.27,494.0,33.19,/company/source/quarter/218/9/2025/
2025-12-01,6477.0,5512.0,965.0,0.15,48.0,113.0,219.0,682.0,0.24,516.0,34.93,/company/source/quarter/218/12/2025/
