date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,22843.0,11094.0,8577.0,3171.0,0.14,5148.0,0.0,8319.0,0.25,6215.0,20.12,0.0,0.0,/company/source/quarter/348/12/2022/
2023-03-01,24630.0,12580.0,8101.0,3948.0,0.16,-7101.0,0.0,-3153.0,0.7,-5334.0,-17.43,0.0,0.0,/company/source/quarter/348/3/2023/
2023-06-01,26246.0,13972.0,9731.0,2543.0,0.1,5648.0,0.0,8192.0,0.26,6113.0,19.78,0.0,0.0,/company/source/quarter/348/6/2023/
2023-09-01,27418.0,14749.0,10059.0,2609.0,0.1,5705.0,0.0,8314.0,0.25,6230.0,20.13,0.0,0.0,/company/source/quarter/348/9/2023/
2023-12-01,28865.0,15943.0,10506.0,2416.0,0.08,6272.0,0.0,8688.0,0.25,6520.0,21.05,0.0,0.0,/company/source/quarter/348/12/2023/
2024-03-01,30231.0,16727.0,11124.0,2379.0,0.08,7606.0,0.0,9985.0,0.24,7630.0,24.62,0.0,0.0,/company/source/quarter/348/3/2024/
2024-06-01,31159.0,17261.0,11892.0,2006.0,0.06,6637.0,0.0,8643.0,0.25,6467.0,20.83,0.0,0.0,/company/source/quarter/348/6/2024/
2024-09-01,31601.0,17615.0,12412.0,1575.0,0.05,7603.0,0.0,9177.0,0.19,7436.0,23.93,0.0,0.0,/company/source/quarter/348/9/2024/
2024-12-01,32162.0,18040.0,11913.0,2210.0,0.07,6797.0,0.0,9007.0,0.25,6779.0,21.78,0.0,0.0,/company/source/quarter/348/12/2024/
2025-03-01,32452.0,18121.0,11943.0,2389.0,0.07,7506.0,0.0,9895.0,0.24,7509.0,24.13,0.0,0.0,/company/source/quarter/348/3/2025/
2025-06-01,32348.0,18239.0,13983.0,127.0,0.0,8053.0,0.0,8180.0,0.23,6279.0,20.13,0.0,0.0,/company/source/quarter/348/6/2025/
2025-09-01,32310.0,17971.0,14302.0,36.0,0.0,7460.0,0.0,7496.0,0.26,5567.0,17.82,0.0,0.0,/company/source/quarter/348/9/2025/
2025-12-01,33709.0,18785.0,12743.0,2181.0,0.06,7189.0,0.0,9371.0,0.25,7060.0,22.58,0.0,0.0,/company/source/quarter/348/12/2025/
