date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,4153.0,3290.0,863.0,0.21,59.0,10.0,106.0,806.0,0.25,614.0,0.84,/company/source/quarter/456/12/2022/
2023-03-01,6479.0,4647.0,1832.0,0.28,66.0,2.0,114.0,1782.0,0.23,1382.0,1.89,/company/source/quarter/456/3/2023/
2023-06-01,3533.0,2860.0,673.0,0.19,140.0,1.0,109.0,703.0,0.25,539.0,0.74,/company/source/quarter/456/6/2023/
2023-09-01,4009.0,2995.0,1014.0,0.25,137.0,2.0,108.0,1041.0,0.25,790.0,1.08,/company/source/quarter/456/9/2023/
2023-12-01,4162.0,3090.0,1072.0,0.26,167.0,1.0,107.0,1132.0,0.25,860.0,1.18,/company/source/quarter/456/12/2023/
2024-03-01,8564.0,6277.0,2287.0,0.27,225.0,4.0,119.0,2390.0,0.25,1797.0,2.46,/company/source/quarter/456/3/2024/
2024-06-01,4244.0,3295.0,948.0,0.22,204.0,1.0,108.0,1043.0,0.25,791.0,1.08,/company/source/quarter/456/6/2024/
2024-09-01,4605.0,3205.0,1400.0,0.3,158.0,1.0,111.0,1445.0,0.25,1093.0,1.49,/company/source/quarter/456/9/2024/
2024-12-01,5771.0,4101.0,1669.0,0.29,186.0,1.0,111.0,1744.0,0.25,1312.0,1.79,/company/source/quarter/456/12/2024/
2025-03-01,9150.0,6334.0,2816.0,0.31,195.0,6.0,138.0,2867.0,0.26,2127.0,2.91,/company/source/quarter/456/3/2025/
2025-06-01,4440.0,3201.0,1238.0,0.28,163.0,1.0,121.0,1279.0,0.25,969.0,1.33,/company/source/quarter/456/6/2025/
2025-09-01,5792.0,4090.0,1702.0,0.29,154.0,2.0,126.0,1728.0,0.26,1287.0,1.76,/company/source/quarter/456/9/2025/
2025-12-01,7154.0,5027.0,2127.0,0.3,139.0,2.0,135.0,2128.0,0.26,1580.0,2.16,/company/source/quarter/456/12/2025/
