date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,4380.0,3668.0,712.0,0.16,53.0,54.0,52.0,659.0,0.26,491.0,20.48,/company/source/quarter/553/9/2022/
2022-12-01,4197.0,3379.0,818.0,0.19,428.0,38.0,58.0,1149.0,0.19,932.0,38.71,/company/source/quarter/553/12/2022/
2023-03-01,4023.0,3222.0,801.0,0.2,60.0,35.0,65.0,761.0,0.27,558.0,23.19,/company/source/quarter/553/3/2023/
2023-06-01,4011.0,3322.0,689.0,0.17,57.0,53.0,71.0,622.0,0.27,455.0,19.0,/company/source/quarter/553/6/2023/
2023-09-01,4433.0,3562.0,871.0,0.2,52.0,53.0,72.0,799.0,0.27,586.0,24.39,/company/source/quarter/553/9/2023/
2023-12-01,4256.0,3437.0,820.0,0.19,48.0,31.0,78.0,758.0,0.27,556.0,23.1,/company/source/quarter/553/12/2023/
2024-03-01,4069.0,3286.0,784.0,0.19,57.0,26.0,80.0,735.0,0.27,537.0,22.35,/company/source/quarter/553/3/2024/
2024-06-01,4250.0,3497.0,753.0,0.18,31.0,29.0,74.0,681.0,0.26,505.0,20.99,/company/source/quarter/553/6/2024/
2024-09-01,4668.0,3888.0,780.0,0.17,46.0,35.0,76.0,715.0,0.26,532.0,22.06,/company/source/quarter/553/9/2024/
2024-12-01,4593.0,3750.0,843.0,0.18,62.0,45.0,82.0,778.0,0.25,582.0,24.15,/company/source/quarter/553/12/2024/
2025-03-01,4432.0,3632.0,801.0,0.18,63.0,31.0,81.0,752.0,0.26,559.0,23.25,/company/source/quarter/553/3/2025/
2025-06-01,4622.0,3870.0,752.0,0.16,57.0,26.0,82.0,701.0,0.26,520.0,21.62,/company/source/quarter/553/6/2025/
2025-09-01,4841.0,3889.0,951.0,0.2,52.0,35.0,85.0,884.0,0.26,655.0,27.17,/company/source/quarter/553/9/2025/
