date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,6790.0,4851.0,1939.0,0.29,65.0,42.0,324.0,1638.0,0.24,1244.0,14.94,/company/source/quarter/852/12/2022/
2023-03-01,6315.0,4781.0,1534.0,0.24,146.0,35.0,316.0,1329.0,0.28,960.0,11.53,/company/source/quarter/852/3/2023/
2023-06-01,6758.0,4696.0,2062.0,0.31,178.0,37.0,353.0,1850.0,0.24,1405.0,16.87,/company/source/quarter/852/6/2023/
2023-09-01,6903.0,4894.0,2008.0,0.29,319.0,35.0,376.0,1917.0,0.23,1482.0,17.77,/company/source/quarter/852/9/2023/
2023-12-01,7237.0,5214.0,2023.0,0.28,219.0,39.0,374.0,1829.0,0.24,1381.0,16.56,/company/source/quarter/852/12/2023/
2024-03-01,7114.0,5283.0,1831.0,0.26,201.0,59.0,368.0,1605.0,0.18,1310.0,15.7,/company/source/quarter/852/3/2024/
2024-06-01,7696.0,5566.0,2130.0,0.28,193.0,60.0,381.0,1883.0,0.26,1392.0,16.69,/company/source/quarter/852/6/2024/
2024-09-01,8038.0,5962.0,2076.0,0.26,314.0,76.0,397.0,1917.0,0.3,1342.0,15.05,/company/source/quarter/852/9/2024/
2024-12-01,8381.0,6108.0,2273.0,0.27,154.0,82.0,471.0,1874.0,0.25,1404.0,16.94,/company/source/quarter/852/12/2024/
2025-03-01,8528.0,6530.0,1998.0,0.23,528.0,66.0,455.0,2005.0,0.21,1587.0,19.09,/company/source/quarter/852/3/2025/
2025-06-01,8572.0,6398.0,2174.0,0.25,290.0,83.0,476.0,1905.0,0.26,1410.0,16.99,/company/source/quarter/852/6/2025/
2025-09-01,8828.0,6818.0,2010.0,0.23,330.0,91.0,505.0,1745.0,0.23,1337.0,16.14,/company/source/quarter/852/9/2025/
2025-12-01,8753.0,6866.0,1888.0,0.22,271.0,94.0,521.0,1543.0,0.23,1190.0,14.5,/company/source/quarter/852/12/2025/
