date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,17108.0,10849.0,6259.0,0.37,455.0,13.0,462.0,6239.0,0.25,4682.0,3.73,/company/source/quarter/1552/9/2022/
2022-12-01,17705.0,11000.0,6705.0,0.38,595.0,9.0,447.0,6844.0,0.26,5080.0,4.03,/company/source/quarter/1552/12/2022/
2023-03-01,17635.0,11011.0,6624.0,0.38,683.0,12.0,461.0,6833.0,0.24,5243.0,4.16,/company/source/quarter/1552/3/2023/
2023-06-01,17164.0,10494.0,6670.0,0.39,722.0,10.0,442.0,6940.0,0.25,5190.0,4.1,/company/source/quarter/1552/6/2023/
2023-09-01,17774.0,11320.0,6454.0,0.36,674.0,10.0,453.0,6665.0,0.26,4965.0,3.93,/company/source/quarter/1552/9/2023/
2023-12-01,17195.0,10985.0,6210.0,0.36,820.0,12.0,384.0,6635.0,0.19,5407.0,4.28,/company/source/quarter/1552/12/2023/
2024-03-01,17038.0,10736.0,6302.0,0.37,868.0,11.0,385.0,6774.0,0.23,5191.0,4.1,/company/source/quarter/1552/3/2024/
2024-06-01,17778.0,11233.0,6545.0,0.37,771.0,10.0,403.0,6903.0,0.25,5177.0,4.08,/company/source/quarter/1552/6/2024/
2024-09-01,19990.0,13438.0,6552.0,0.33,690.0,15.0,416.0,6811.0,0.26,5054.0,3.99,/company/source/quarter/1552/9/2024/
2024-12-01,18790.0,12428.0,6362.0,0.34,803.0,10.0,416.0,6740.0,0.26,5013.0,3.94,/company/source/quarter/1552/12/2024/
2025-03-01,18765.0,12246.0,6519.0,0.35,15391.0,11.0,411.0,21489.0,0.08,19808.0,15.76,/company/source/quarter/1552/3/2025/
2025-06-01,21495.0,14678.0,6816.0,0.32,751.0,16.0,423.0,7128.0,0.25,5343.0,4.19,/company/source/quarter/1552/6/2025/
2025-09-01,19502.0,12807.0,6695.0,0.34,739.0,20.0,435.0,6979.0,0.26,5187.0,4.09,/company/source/quarter/1552/9/2025/
2025-12-01,20047.0,13165.0,6883.0,0.34,322.0,19.0,431.0,6754.0,0.26,5018.0,3.94,/company/source/quarter/1552/12/2025/
