date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2023-06-01,414.0,38.0,376.0,0.91,67.0,10.0,5.0,427.0,0.22,332.0,0.0,/company/source/quarter/1284422/6/2023/
2023-09-01,608.0,66.0,542.0,0.89,218.0,0.0,5.0,754.0,0.11,668.0,1.05,/company/source/quarter/1284422/9/2023/
2023-12-01,414.0,94.0,320.0,0.77,67.0,0.0,5.0,381.0,0.23,294.0,0.46,/company/source/quarter/1284422/12/2023/
2024-03-01,418.0,98.0,320.0,0.77,78.0,0.0,5.0,393.0,0.21,311.0,0.49,/company/source/quarter/1284422/3/2024/
2024-06-01,418.0,74.0,344.0,0.82,62.0,0.0,5.0,400.0,0.22,313.0,0.49,/company/source/quarter/1284422/6/2024/
2024-09-01,694.0,140.0,553.0,0.8,226.0,0.0,6.0,773.0,0.11,689.0,1.08,/company/source/quarter/1284422/9/2024/
2024-12-01,438.0,125.0,313.0,0.71,70.0,0.0,6.0,377.0,0.22,295.0,0.46,/company/source/quarter/1284422/12/2024/
2025-03-01,493.0,155.0,338.0,0.69,71.0,8.0,6.0,396.0,0.2,316.0,0.5,/company/source/quarter/1284422/3/2025/
2025-06-01,612.0,156.0,457.0,0.75,67.0,99.0,6.0,419.0,0.23,325.0,0.51,/company/source/quarter/1284422/6/2025/
2025-09-01,981.0,293.0,688.0,0.7,238.0,136.0,8.0,783.0,0.11,695.0,1.09,/company/source/quarter/1284422/9/2025/
2025-12-01,901.0,346.0,555.0,0.62,36.0,212.0,8.0,371.0,0.28,269.0,0.42,/company/source/quarter/1284422/12/2025/
