date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,14.0,17.0,56.0,-24.0,-34.0,0.5
2015-03-01,12.0,20.0,43.0,-11.0,-22.0,0.4
2016-03-01,12.0,17.0,49.0,-20.0,-4.0,0.45
2017-03-01,16.0,18.0,56.0,-22.0,-2.0,0.35
2018-03-01,22.0,16.0,68.0,-31.0,-21.0,0.31
2019-03-01,31.0,16.0,63.0,-17.0,-4.0,0.3
2020-03-01,21.0,18.0,56.0,-16.0,-9.0,0.3
2021-03-01,36.0,28.0,85.0,-22.0,-0.0,0.25
2022-03-01,17.0,18.0,54.0,-19.0,-3.0,0.23
2023-03-01,18.0,22.0,58.0,-18.0,-9.0,0.27
2024-03-01,17.0,19.0,64.0,-28.0,-30.0,0.34
2025-03-01,15.0,22.0,66.0,-29.0,-6.0,0.28
