date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,28.0,68.0,96.0,0.0,16.0,0.14
2015-03-01,28.0,72.0,97.0,3.0,-5.0,0.11
2016-03-01,28.0,74.0,108.0,-6.0,-3.0,0.13
2017-03-01,31.0,64.0,107.0,-11.0,-2.0,0.12
2018-03-01,34.0,64.0,125.0,-27.0,-8.0,0.13
2019-03-01,30.0,74.0,127.0,-23.0,-14.0,0.12
2020-03-01,34.0,106.0,142.0,-3.0,-20.0,0.07
2021-03-01,30.0,91.0,147.0,-26.0,-11.0,0.08
2022-03-01,26.0,82.0,134.0,-27.0,-13.0,0.11
2023-03-01,21.0,83.0,118.0,-13.0,-14.0,0.13
2024-03-01,20.0,81.0,112.0,-11.0,-8.0,0.14
2025-03-01,19.0,78.0,118.0,-21.0,-14.0,0.14
