date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,38.0,0.0,0.0,38.0,-365.0,0.09
2015-03-01,46.0,0.0,0.0,46.0,-356.0,0.08
2016-03-01,48.0,0.0,0.0,48.0,-306.0,0.09
2017-03-01,44.0,0.0,0.0,44.0,-250.0,0.1
2018-03-01,44.0,0.0,0.0,44.0,-220.0,0.1
2019-03-01,49.0,0.0,0.0,49.0,-201.0,0.09
2020-03-01,49.0,0.0,0.0,49.0,-274.0,0.11
2021-03-01,79.0,0.0,0.0,79.0,-187.0,0.12
2022-03-01,81.0,0.0,0.0,81.0,-241.0,0.11
2023-03-01,119.0,0.0,0.0,119.0,-174.0,0.13
2024-03-01,92.0,0.0,0.0,92.0,-134.0,0.13
2025-03-01,63.0,0.0,0.0,63.0,-166.0,0.13
