date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,39.0,156.0,133.0,62.0,-43.0,0.1
2015-03-01,35.0,165.0,126.0,74.0,-6.0,0.01
2016-03-01,43.0,180.0,167.0,56.0,-47.0,0.01
2017-03-01,38.0,230.0,172.0,96.0,-32.0,0.06
2018-03-01,37.0,224.0,161.0,99.0,-31.0,0.12
2019-03-01,27.0,190.0,130.0,87.0,-18.0,0.14
2020-03-01,21.0,197.0,136.0,82.0,-38.0,0.06
2021-03-01,22.0,213.0,166.0,69.0,-55.0,0.12
2022-03-01,18.0,213.0,161.0,71.0,-34.0,0.31
2023-03-01,12.0,175.0,122.0,66.0,-42.0,0.13
2024-03-01,10.0,176.0,108.0,78.0,-59.0,0.07
2025-03-01,9.0,171.0,113.0,67.0,-50.0,0.09
