,token,name,symbol
9157,99919000,SENSEX,SENSEX
9158,99919001,S&P BSE PSU,BSEPSU
9159,99919002,S&P BSE 100,BSE100
9160,99919003,S&P BSE 200,BSE200
9161,99919004,S&P BSE 500,BSE500
9162,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9163,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9164,99919007,S&P BSE CAPITAL GOODS,BSE CG
9165,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9166,99919009,S&P BSE HEALTHCARE,BSE HC
9167,99919011,S&P BSE TECK,TECK
9168,99919012,BANKEX,BANKEX
9169,99919013,S&P BSE AUTO,AUTO
9170,99919014,S&P BSE METAL,METAL
9171,99919015,S&P BSE CPSE,CPSE
9172,99919016,S&P BSE MIDCAP,MIDCAP
9173,99919017,S&P BSE SMALLCAP,SMLCAP
9174,99919018,S&P BSE DOLLEX 30,DOL30
9175,99919019,S&P BSE DOLLEX 100,DOL100
9176,99919020,S&P BSE DOLLEX 200,DOL200
9177,99919042,S&P BSE LARGECAP,LRGCAP
9178,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9179,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9180,99919051,S&P BSE OIL & GAS,OILGAS
9181,99919052,S&P BSE POWER,POWER
9182,99919053,S&P BSE REALTY,REALTY
9183,99919054,S&P BSE IPO,BSEIPO
9184,99919058,S&P BSE CARBONEX,CARBON
9185,99919059,S&P BSE SME IPO,SMEIPO
9186,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9187,99919081,S&P BSE GREENEX,GREENX
9188,99919082,S&P BSE SENSEX 50,SNSX50
9189,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9190,99919084,S&P BSE ENERGY,ENERGY
9191,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9192,99919086,S&P BSE INDUSTRIALS,INDSTR
9193,99919087,S&P BSE TELECOM,TELCOM
9194,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9195,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9196,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9197,47,SX50,SX50
9198,500020,BOMDYEING,BOMDYEING
9199,500023,ASIANHOTNR,ASIANHOTNR
9200,500041,BANARISUG,BANARISUG
9201,500016,ARUNAHTEL,ARUNAHTEL
9202,500049,BEL,BEL
9203,500058,BIHSPONG,BIHSPONG
9204,500067,BLUESTARCO,BLUESTARCO
9205,500068,DISAQ,DISAQ
9206,500113,SAIL,SAIL
9207,500117,DCW,DCW
9208,500128,ELECTCAST,ELECTCAST
9209,500168,GOODYEAR,GOODYEAR
9210,500170,GTNINDS,GTNINDS
9211,500171,GHCL,GHCL
9212,500173,GFLLIMITED,GFLLIMITED
9213,500179,HCL-INSYS,HCL-INSYS
9214,500193,HLVLTD,HLVLTD
9215,500201,INDIAGLYCO,INDIAGLYCO
9216,500238,WHIRLPOOL,WHIRLPOOL
9217,500239,KGDENIM,KGDENIM
9218,500267,MAJESAUT,MAJESAUT
9219,500268,MANALIPETC,MANALIPETC
9220,500343,AMJLAND,AMJLAND
9221,500350,RSWM,RSWM
9222,500357,RAMAPPR-B,RAMAPPR-B
9223,500371,SAMTELIN,SAMTELIN
9224,500403,SUNDRMFAST,SUNDRMFAST
9225,500083,CENTEXT,CENTEXT
9226,500104,HINDPETRO,HINDPETRO
9227,500125,EIDPARRY,EIDPARRY
9228,500142,FGP,FGP
9229,500459,PGHH,PGHH
9230,500470,TATASTEEL,TATASTEEL
9231,500645,DEEPAKFERT,DEEPAKFERT
9232,500780,ZUARIIND,ZUARIIND
9233,500790,NESTLEIND,NESTLEIND
9234,500850,INDHOTEL,INDHOTEL
9235,501150,CENTRUM,CENTRUM
9236,501295,IITL,IITL
9237,500144,FINCABLES,FINCABLES
9238,500191,HMT,HMT
9239,500214,IONEXCHANG,IONEXCHANG
9240,500250,LGBBROSLTD,LGBBROSLTD
9241,501343,MOTOGENFIN,MOTOGENFIN
9242,501622,AMALGAM,AMALGAM
9243,501630,ANANDPROJ,ANANDPROJ
9244,502015,ASIIL,ASIIL
9245,500294,NCC,NCC
9246,500327,PILITA,PILITA
9247,500338,PRSMJOHNSN,PRSMJOHNSN
9248,500367,RUBFILA,RUBFILA
9249,502219,BORORENEW,BORORENEW
9250,502587,NATHIND,NATHIND
9251,503639,INDSOYA,INDSOYA
9252,503772,MODWOOL,MODWOOL
9253,500380,JKLAKSHMI,JKLAKSHMI
9254,500425,AMBUJACEM,AMBUJACEM
9255,500480,CUMMINSIND,CUMMINSIND
9256,500540,PREMIER,PREMIER
9257,504605,UNIABEXAL,UNIABEXAL
9258,505216,ALFREDHE,ALFREDHE
9259,505368,SEMAC,SEMAC
9260,505537,ZEEL,ZEEL
9261,505594,MULTIIN,MULTIIN
9262,505726,IFBIND,IFBIND
9263,505729,SINGER,SINGER
9264,505797,MPCOSEMB,MPCOSEMB
9265,500696,HINDUNILVR,HINDUNILVR
9266,500730,NOCIL,NOCIL
9267,501144,PEOPLIN,PEOPLIN
9268,501151,KARTKIN,KARTKIN
9269,505800,RANEHOLDIN,RANEHOLDIN
9270,505893,HINDHARD,HINDHARD
9271,505978,TRITONV,TRITONV
9272,506605,POLYCHEM,POLYCHEM
9273,501270,ANTARIKSH,ANTARIKSH
9274,502175,SAURASHCEM,SAURASHCEM
9275,502445,CITADEL,CITADEL
9276,503622,ZSVTRADI,ZSVTRADI
9277,503776,MODIPON,MODIPON
9278,504036,HIRECT,HIRECT
9279,504084,KAYCEEI,KAYCEEI
9280,504176,HIGHENE,HIGHENE
9281,506640,ZR2,ZR2
9282,506655,SUDARSCHEM,SUDARSCHEM
9283,506734,MYSORPETRO,MYSORPETRO
9284,506854,TANFACIND,TANFACIND
9285,504346,RRP,RRP
9286,504392,KRISHNA,KRISHNA
9287,504614,SARDAEN,SARDAEN
9288,504697,GALADA,GALADA
9289,506981,BLUECHIPT,BLUECHIPT
9290,507580,IVP,IVP
9291,507609,OLYOI,OLYOI
9292,507815,GILLETTE,GILLETTE
9293,504731,AZADIND,AZADIND
9294,505029,ATLASCYCLE,ATLASCYCLE
9295,505285,TULIVE,TULIVE
9296,505358,INTEGRAEN,INTEGRAEN
9297,507872,ASHNOOR,ASHNOOR
9298,508486,HAWKINCOOK,HAWKINCOOK
9299,508571,COCHMAL,COCHMAL
9300,508867,NEWMKTADV,NEWMKTADV
9301,505400,TEXINFRA,TEXINFRA
9302,505533,WESTLIFE,WESTLIFE
9303,505681,BIMETAL,BIMETAL
9304,505688,BHARATGEAR,BHARATGEAR
9305,508906,EVERESTIND,EVERESTIND
9306,509015,THAKRAL,THAKRAL
9307,509020,RUCHINFRA,RUCHINFRA
9308,509152,GRPLTD,GRPLTD
9309,506024,HVL,HVL
9310,506042,ZPRBHSTE,ZPRBHSTE
9311,506079,LAKPRE,LAKPRE
9312,506162,TERRAFORM,TERRAFORM
9313,509438,BENARAS,BENARAS
9314,509525,EMPIND,EMPIND
9315,509557,GARFIBRES,GARFIBRES
9316,509760,MODRNSH,MODRNSH
9317,506166,APIS,APIS
9318,506260,ANUHPHR,ANUHPHR
9319,506313,SASHWAT,SASHWAT
9320,506530,KEMP,KEMP
9321,511092,JMDVL,JMDVL
9322,511108,SHIVATEX,SHIVATEX
9323,511110,VBDESAI,VBDESAI
9324,511122,1STCUS,1STCUS
9325,506879,GUJTHEM,GUJTHEM
9326,507300,RAVALSUGAR,RAVALSUGAR
9327,507315,SAKHTISUG,SAKHTISUG
